id_releve,x_l93,y_l93,x_UTM32N,y_UTM32N
8660629,1007168,6551798,342831,5095650
8661038,983897,6474631,313776,5020401
8661039,983641,6474663,313523,5020452
8661040,983604,6474717,313490,5020509
8661041,983626,6474774,313516,5020564
8661042,983707,6474711,313592,5020495
8661043,983846,6474851,313742,5020624
8661044,983828,6474950,313731,5020725
8661045,983776,6474948,313679,5020726
8661046,983771,6475559,313720,5021337
8661048,983832,6475873,313805,5021645
8800621,984203,6474105,314042,5019853
8845405,983899,6474274,313751,5020045
8887655,984114,6474267,313965,5020021
8971667,984366,6473881,314187,5019617
8972997,983758,6474598,313635,5020379
8973007,984131,6474187,313976,5019940
9013729,984275,6473984,314104,5019727
9013730,983894,6475512,313839,5021280
9014743,984067,6474291,313920,5020049
9014744,984260,6474005,314091,5019749
9014906,984319,6473917,314143,5019657
9014907,984455,6473625,314257,5019355
9014923,984298,6474020,314130,5019761
9015195,983916,6475218,313839,5020985
9015196,983757,6475756,313721,5021534
9015198,984213,6474140,314054,5019887
9025595,984159,6474177,314003,5019928
9036301,983950,6474173,313794,5019940
9146327,984299,6473778,314113,5019520
9153892,983895,6474317,313750,5020088
9177884,983878,6475309,313808,5021079
9340315,984112,6474210,313959,5019965
9373264,983756,6474618,313634,5020399
9675988,984437,6473593,314237,5019324
9729999,983791,6474449,313656,5020227
9792133,984233,6473902,314056,5019648
9842463,983953,6474242,313802,5020009
9851354,984091,6474268,313942,5020024
9866427,984313,6473697,314121,5019438
9881474,984013,6474300,313867,5020062
9888674,983848,6474772,313738,5020545
9888675,983880,6475487,313823,5021257
9888676,984238,6473836,314056,5019582
9888677,984434,6473652,314238,5019384
9888678,983860,6474660,313741,5020433
9889811,984219,6474002,314050,5019749
9889812,983904,6474439,313768,5020209
9889813,983837,6474468,313704,5020243
9906273,983991,6474245,313841,5020009
9906647,984220,6473954,314047,5019701
9906648,984161,6474379,314020,5020130
9948798,984169,6474163,314012,5019914
9948953,984488,6473586,314287,5019314
9953065,983719,6474512,313589,5020296
9960374,983864,6474942,313766,5020714
9989424,983881,6475094,313795,5020864
9989425,984100,6474226,313948,5019982
9989430,983719,6474503,313589,5020287
9989431,983964,6474357,313822,5020123
9998878,983942,6474437,313806,5020204
