id_releve,x_l93,y_l93,alti,slope,expo,TPI
9177884,983878,6475309,2453.090088,12.87870216,18.75126839,-0.033447266
9340315,984112,6474210,2673.120117,14.61812115,253.058548,0.192871094
9373264,983756,6474618,2594.02002,4.717620373,350.9361572,0.022460938
9675988,984437,6473593,2737.449951,12.38046265,264.5095825,0.008544922
9729999,983791,6474449,2606.560059,21.67926598,21.74162102,-0.08984375
9792133,984233,6473902,2694.169922,12.55260944,34.38443756,-0.153808594
9842463,983953,6474242,2657.97998,14.00573063,4.948180199,-0.036132813
9851354,984091,6474268,2662.909912,19.94686317,349.2018127,-0.083984375
9866427,984313,6473697,2726.850098,19.25382423,62.92004013,0.048828125
9881474,984013,6474300,2657.919922,12.0740633,336.2230835,0.202392578
9888674,983848,6474772,2588.929932,10.03656769,331.4781494,0.012451172
9888675,983880,6475487,2417.72998,12.00704479,42.52045059,-0.03125
9888676,984238,6473836,2711.800049,19.59248924,21.46188354,-0.133544922
9888677,984434,6473652,2744.080078,25.04096985,242.3931122,-0.069824219
9888678,983860,6474660,2604.580078,5.295471191,342.7391663,0.078857422
9889811,984219,6474002,2680.949951,8.655808449,263.4918823,0.055908203
9889812,983904,6474439,2626.820068,11.81334114,329.3877869,0.117675781
9889813,983837,6474468,2600.280029,12.22007275,295.946167,-0.386230469
9906273,983991,6474245,2655.47998,9.654390335,32.63579941,-0.112548828
9906647,984220,6473954,2683.780029,15.24359417,51.40513229,-0.064941406
9906648,984161,6474379,2635.310059,13.20541286,342.0674438,-0.103515625
9948798,984169,6474163,2679.610107,6.650957584,259.7546997,0.018798828
9948953,984488,6473586,2750.72998,18.99505997,252.0642853,-0.015136719
9953065,983719,6474512,2600.699951,13.22657204,38.87149048,-0.030029297
9960374,983864,6474942,2546.22998,17.9891243,33.50606155,-0.049804688
9989424,983881,6475094,2515.370117,25.40267372,315.9383545,0.056396484
9989425,984100,6474226,2671.659912,13.43190479,257.6079407,0.126220703
9989430,983719,6474503,2601.689941,14.5060854,36.11621857,-0.015136719
9989431,983964,6474357,2644.040039,14.06092834,9.535772324,0.122558594
9998878,983942,6474437,2626.590088,14.17201138,33.53297424,0.025146484
10400805,1000689,6540557,2121.409912,27.7639122,307.4352112,-0.020263672
10400806,1000668,6540567,2110.300049,28.05742836,313.4418945,0.127685547
10400811,1000692,6540504,2128.820068,23.1008091,287.0747681,-0.187255859
10400816,1000691,6540568,2116.419922,30.09202003,305.37677,-0.062744141
10400821,1000637,6540525,2098.22998,28.55970764,290.5979919,-0.106201172
10400823,1000716,6540542,2137.199951,27.22696877,296.9890747,0.129882813
10400824,1000680,6540488,2128.01001,25.46096992,302.7405701,-0.049804688
10400936,1000846,6540578,2180.560059,18.55871773,303.6421204,-0.213867188
10400939,1000913,6540533,2209.679932,15.51042747,304.5781555,-0.049804688
10400941,1000862,6540571,2187.540039,23.89852333,312.3929749,-0.179931641
10400943,1000872,6540627,2195.320068,29.90850639,250.2091675,-0.131347656
10400944,1000854,6540543,2193.899902,22.56497192,316.4116516,0.053710938
10400946,1000908,6540529,2209.26001,16.3732605,308.0868835,-0.203613281
10400948,1000842,6540604,2179.449951,19.48387909,250.1302185,0.122558594
10400950,1000915,6540574,2207.780029,12.99046898,251.8785553,0.128662109
10401268,1001019,6540412,2274.780029,19.56884766,318.0204468,0.148681641
10401270,1000889,6540304,2237.870117,27.24391365,266.604187,-0.234863281
10401601,1001027,6540474,2257.280029,17.36688995,341.4490662,0.031494141
10401604,1001002,6540519,2241.409912,26.67796326,344.7390137,0.408691406
10401606,1000867,6540266,2234.75,13.19031334,297.4399109,0.018798828
10401610,1000937,6540308,2259.050049,15.2440691,269.2633972,0.096435547
10401614,1000991,6540377,2270.699951,21.54263306,277.0942688,0.030029297
10401616,1001025,6540524,2242.409912,16.17566872,309.0525818,-0.422607422
10401618,1000921,6540348,2251.639893,12.45932198,297.4937439,-0.016357422
10401621,1000958,6540206,2265.600098,11.43464851,359.2219543,-0.051269531
10401624,1000894,6540195,2257.719971,32.13661957,332.5573425,0.064941406
10401628,1000979,6540175,2272.050049,11.49191284,304.2754517,0.138916016
10401632,1001007,6540173,2281.469971,34.27582932,303.5093384,0.017333984
10401635,1000943,6540183,2270.219971,11.71119404,17.91107368,0.068603516
10401637,1000867,6540186,2256.73999,25.4619751,339.7578735,0.034912109
10401639,1001133,6540431,2314.899902,20.03269005,18.13589668,0.226074219
10401640,1001110,6540447,2304.469971,39.98918915,321.5353394,0.144775391
10401642,1001096,6540449,2292.070068,43.53964233,316.3865662,-0.053710938
10401733,1005753,6552175,1507.829956,8.886023521,244.8300171,-0.043823242
