"","cd_ref","nom_reconnu_ss_auteur","CHOROLOGIE","sexualité","pollinisation","inflorescence","fruit","dissémination","TYPE_BIOLOGIQUE","FORMATION_VEGETALE","CARACT_ECOLOG_HABITAT_OPTI","INDICATION_PHYTOSOCIOLOGIQUE_CARACTERISTIQUE","SA_CSR","dissemination_compil","pollinisation_compil","famille","nom_valide","tax_type","nbre_obs","annee_min","annee_max"
"147",717310,"Micranthes stellaris","arctico-alpin","hermaphrodite","entomogame, autogame","racème de racèmes","capsule","barochore","grhi","hémicryptophytaie","hémicryptophytaies des sources laurasiennes","Montio fontanae - Cardaminetea amarae Braun-Blanquet & Tüxen 1943",NA,"barochore","entomogame, autogame","Saxifragaceae","Micranthes stellaris (L.) Galasso, Banfi & Soldano, 2005","P",40,2019,2020
"148",108863,"Murbeckiella pinnatifida","orophyte méridional","hermaphrodite","entomogame","racème simple","silique","barochore","hros","hémicryptophytaie","grpts vivaces des éboulis médio-européens orophiles, acidophiles","Androsacetalia alpinae Braun-Blanquet in Braun-Blanquet & Jenny 1926",NA,"barochore","entomogame","Brassicaceae","Murbeckiella pinnatifida (Lam.) Rothm., 1939","P",2,2019,2019
"149",610917,"Mutellina adonidifolia","orophyte méridional","hermaphrodite","entomogame","ombelle d'ombellules","akène","barochore","heri","hémicryptophytaie","mégaphorbiaies subalpines, hygrophiles mésotrophiles, acidophiles, des ubacs","Mutellino adonidifoliae - Luzulion desvauxii Michalet & Philippe 1994","ccs","barochore","entomogame","Apiaceae","Mutellina adonidifolia (J.Gay) Gutermann, 2006","P",1,2019,2019
"150",108987,"Myosotis alpestris","orophyte alpien","hermaphrodite","entomogame","cyme biscorpioïde","akène","épizoochore","heri","hémicryptophytaie","pelouses basophiles subalpines, alpiennes, mésohygrophiles","Caricion ferrugineae Braun-Blanquet 1931","crs","barochore","entomogame","Boraginaceae","Myosotis alpestris F.W.Schmidt, 1794","P",14,2019,2020
"151",109366,"Nardus stricta","circumboréal","hermaphrodite","anémogame","épi d'épillets","caryopse","épizoochore","hces","hémicryptophytaie","pelouses acidophiles médio-européennes à boréo-subalpines","Nardetea strictae Rivas Goday & Borja-Carbonell 1961 em. de Foucault 1994","css","barochore","anémogame","Poaceae","Nardus stricta L., 1753","P",8,2019,2020
"152",109680,"Noccaea rotundifolia","orophyte alpien","hermaphrodite","entomogame","racème simple","silique","barochore","hros","hémicryptophytaie","grpts vivaces des éboulis basophiles, alpiens, subalpins-alpins, héliophiles","Noccaeion rotundifoliae Braun-Blanquet in Braun-Blanquet & Jenny 1926 em. Zollitsch 1966","css","barochore","entomogame","Brassicaceae","Noccaea rotundifolia (L.) Moench, 1802","P",16,2020,2020
"153",111771,"Orthilia secunda","circumboréal","hermaphrodite","entomogame","racème simple","capsule","barochore","grhi","hémicryptophytaie","sous-bois herbacés médio-européens, boréaux à montagnards, des humus bruts (mor)","Goodyerion repentis de Foucault & Julve 2002","sss","barochore","entomogame","Ericaceae","Orthilia secunda (L.) House, 1921","P",4,2019,2020
"154",111960,"Oxyria digyna","arctico-alpin","hermaphrodite","anémogame","glomérules","akène","anémochore","hros","hémicryptophytaie","grpts vivaces des éboulis médio-européens, acidophiles, orophiles, alpiens","Androsacion alpinae Braun-Blanquet in Braun-Blanquet & Jenny 1926","css","barochore","anémogame","Polygonaceae","Oxyria digyna (L.) Hill, 1768","P",104,2019,2020
"155",112011,"Pachypleurum mutellinoides","orophyte alpien","hermaphrodite","entomogame","ombelle d'ombellules","akène","anémochore","heri","hémicryptophytaie","pelouses basophiles alpines climaciques, alpiennes, chionophobes","Caricion myosuroidis Gams 1936","crs","barochore","entomogame","Apiaceae","Pachypleurum mutellinoides (Crantz) Holub, 1983","P",1,2019,2019
"156",112426,"Parnassia palustris","circumboréal","hermaphrodite","entomogame, autogame","fleur solitaire terminale","capsule","barochore","hros","hémicryptophytaie","hémicrypto-géophytaies des tourbières holarctiques","Scheuchzerio palustris - Caricetea nigrae (Nordhagen 1936) Tüxen 1937 em. Julve 1999","css","barochore","entomogame, autogame","Celastraceae","Parnassia palustris L., 1753","P",2,2019,2019
"157",997256,"Pedicularis gyroflexa","orophyte alpien occ.","hermaphrodite","entomogame","épi simple","capsule","barochore","heri-hpar","hémicryptophytaie","pelouses basophiles subalpines, pionnières, chionophiles","Seslerietea caeruleae Braun-Blanquet 1948 em. Oberdorfer 1978",NA,NA,NA,"Orobanchaceae","Pedicularis gyroflexa Vill., 1787","P",1,2019,2019
"158",112584,"Pedicularis kerneri","orophyte méridional","hermaphrodite","entomogame","épi simple","capsule","barochore","hros-hpar","hémicryptophytaie","pelouses acidophiles alpino-alpiennes climaciques, chionophobes","Caricion curvulae subsp. curvulae Braun-Blanquet 1925","css","barochore","entomogame","Orobanchaceae","Pedicularis kerneri Dalla Torre, 1882","P",7,2019,2020
"159",112604,"Pedicularis verticillata","arctico-alpin","hermaphrodite","entomogame","épi simple","capsule","barochore","heri-hpar","hémicryptophytaie","pelouses basophiles subalpines, pionnières, chionophiles","Seslerietea caeruleae Braun-Blanquet 1948 em. Oberdorfer 1978","css","barochore","entomogame","Orobanchaceae","Pedicularis verticillata L., 1753","P",2,2019,2019
"160",113175,"Phleum alpinum","arctico-alpin","hermaphrodite","anémogame","épi d'épillets","caryopse","épizoochore","hsto","hémicryptophytaie","pelouses arctico-alpines climaciques, chionophiles, mésohygrophiles","Salicetea herbaceae Braun-Blanquet 1948","ccs","barochore","anémogame","Poaceae","Phleum alpinum L., 1753","P",1,2020,2020
"161",113224,"Phleum rhaeticum","orophyte méridional","hermaphrodite","anémogame","épi d'épillets","caryopse","épizoochore","hsto","hémicryptophytaie","pelouses alpines climaciques chionophiles, acidophiles","Salicetalia herbaceae Braun-Blanquet in Braun-Blanquet & Jenny 1926",NA,"épizoochore","anémogame","Poaceae","Phleum rhaeticum (Humphries) Rauschert, 1979","P",1,2019,2019
"162",113362,"Phyteuma betonicifolium","orophyte alpien","hermaphrodite","entomogame","capitule simple","capsule","barochore","heri","hémicryptophytaie","pelouses acidophiles ouvertes, alpines, mésohydriques, des adrets alpiens","Festucion acuminatae Braun-Blanquet 1926",NA,"barochore","entomogame","Campanulaceae","Phyteuma betonicifolium Vill., 1787","P",2,2019,2020
"163",113381,"Phyteuma hemisphaericum","orophyte européen","hermaphrodite","entomogame","capitule simple","capsule","barochore","hsto","hémicryptophytaie","lithophytes des replats de falaises européennes, acidophiles, subalpines à alpines","Androsacetalia vandellii Braun-Blanquet in Meier & Braun-Blanquet 1934","css","barochore","entomogame","Campanulaceae","Phyteuma hemisphaericum L., 1753","P",16,2019,2020
"164",113432,"Picea abies","eurasiatique","monoïque","anémogame","cône","cône","anémochore","A-semp","magnophanérophytaie","associations arborescentes climaciques des forêts sempervirentes aciculifoliées boréo-subalpines de l'Europe occidentale, sur sols mésotrophes","sA Pino cembrae - Piceetea abietis Julve 1993","ccc","anémochore et dyszoochore","anémogame","Pinaceae","Picea abies (L.) H.Karst., 1881","P",11,2019,2020
"165",113527,"Pilosella peleteriana","européen","hermaphrodite","apogame",NA,"akène","anémochore","hros","hémicryptophytaie","pelouses arénicoles basophiles, médio-européennes occidentales, mésoxérophiles","Koelerio macranthae - Phleetalia phleoidis Korneck 1974",NA,"anémochore","apogame","Asteraceae","Pilosella peleteriana (Mérat) F.W.Schultz & Sch.Bip., 1862","P",2,2019,2019
"166",113639,"Pinguicula vulgaris","circumboréal","hermaphrodite","entomogame","fleur solitaire terminale","capsule","barochore","hros-car","hémicryptophytaie","hémicrypto-géophytaies des tourbières holarctiques","Scheuchzerio palustris - Caricetea nigrae (Nordhagen 1936) Tüxen 1937 em. Julve 1999","sss","barochore","entomogame","Lentibulariaceae","Pinguicula vulgaris L., 1753","P",1,2019,2019
"167",113806,"Plantago alpina","orophyte méridional","hermaphrodite","anémogame","épi simple","akène","barochore","hces","hémicryptophytaie","pelouses acidophiles montagnardes à subalpines","Trifolio alpini - Meetalia athamantici de Foucault 1994","css","barochore","anémogame","Plantaginaceae","Plantago alpina L., 1753","P",13,2019,2019
"168",114011,"Platanthera bifolia","eurasiatique tempéré","hermaphrodite","entomogame","épi simple","capsule","anémochore","gtub","hémicryptophytaie","ourlets marnicoles, mésohygrophiles, planitiaires-collinéens à montagnards","Tephroserido integrifoliae - Platantherion chloranthae Julve 2003 all. nov. hoc loco","crs","anémochore","entomogame","Orchidaceae","Platanthera bifolia (L.) Rich., 1817","P",1,2020,2020
"169",114105,"Poa alpina","circumboréal","hermaphrodite","anémogame","panicule d'épillets","caryopse","barochore","hces","hémicryptophytaie","prairies mésohydriques eutrophiles, pâturées, subalpines","Poion alpinae Gams 1927 ex Oberdorfer 1950","crs","barochore","anémogame","Poaceae","Poa alpina L., 1753","P",245,2019,2020
"170",114151,"Poa cenisia","orophyte méridional","hermaphrodite","anémogame","panicule d'épillets","caryopse","barochore","grhi","hémicryptophytaie","grpts vivaces des éboulis basophiles, psychrophiles, montagnards (ubacs) à alpins, héliophiles","Noccaeetalia rotundifoliae Braun-Blanquet in Braun-Blanquet & Jenny 1926 em. Seibert in Oberdorfer 1977","css","barochore","anémogame","Poaceae","Poa cenisia All., 1789","P",100,2019,2020
"171",114262,"Poa laxa","orophyte européen","hermaphrodite","anémogame","panicule d'épillets","caryopse","barochore","hces","hémicryptophytaie","grpts vivaces des éboulis médio-européens orophiles, acidophiles","Androsacetalia alpinae Braun-Blanquet in Braun-Blanquet & Jenny 1926","css","barochore","anémogame","Poaceae","Poa laxa Haenke, 1791","P",29,2019,2020
"172",114287,"Poa minor","orophyte occidental","hermaphrodite","anémogame","panicule d'épillets","caryopse","barochore","hces","hémicryptophytaie","grpts vivaces des éboulis basophiles, psychrophiles, montagnards (ubacs) à alpins, héliophiles","Noccaeetalia rotundifoliae Braun-Blanquet in Braun-Blanquet & Jenny 1926 em. Seibert in Oberdorfer 1977","css","barochore","anémogame","Poaceae","Poa minor Gaudin, 1808","P",14,2019,2019
"173",114297,"Poa nemoralis","circumboréal","hermaphrodite","anémogame","panicule d'épillets","caryopse","barochore","hces","hémicryptophytaie","sous-bois herbacés médio-européens, planitiaires à montagnards","Anemono nemorosae - Caricetea sylvaticae Gillet 1986 em. Julve 1993","crs","barochore","anémogame","Poaceae","Poa nemoralis L., 1753","P",29,2019,2019
"174",114523,"Polygala alpina","orophyte alpien occ.","hermaphrodite","entomogame","racème simple","capsule","anémochore","hsto","hémicryptophytaie","pelouses basophiles subalpines, pionnières, chionophiles","Seslerietea caeruleae Braun-Blanquet 1948 em. Oberdorfer 1978","css","barochore","entomogame","Polygalaceae","Polygala alpina (DC.) Steud., 1821","P",1,2019,2019
"175",115061,"Polystichum lonchitis","circumboréal septentrional","monoïque","hydrogame",NA,NA,"autochore","hces","hémicryptophytaie","grpts vivaces des éboulis basophiles sciaphiles, montagnards-subalpins","Polystichetalia lonchitidis Rivas-Martínez, T.E. Díaz, F. Prieto, Loidi & Penas 1984","css","anémochore",NA,"Dryopteridaceae","Polystichum lonchitis (L.) Roth, 1799","P",2,2019,2019
"176",115156,"Populus tremula","eurasiatique méridional","dioïque","anémogame","épi simple","capsule","anémochore","A-cad","magnophanérophytaie","associations arborescentes de nomades à bois tendres, pionniers des climax caducifoliés et sempervirents du tempéré modal et du tempéré froid eurasiatiques, planitiaires à boréo-subalpins, sur sols oligotrophes à mésotrophes","Betulo pendulae - Populetalia tremulae Rivas-Martínez, Fernández-González, Loidi, Lousã & Penas 2001","ccc","anémochore","anémogame","Salicaceae","Populus tremula L., 1753","P",3,2019,2019
"177",115449,"Potentilla crantzii","circumboréal","hermaphrodite","apogame","cyme unipare hélicoïde","akène","barochore","heri","hémicryptophytaie","pelouses basophiles arctico-alpines climaciques, chionophobes, holarctiques","Caricetea rupestro - myosuroidis Ohba 1974","ccs","barochore","entomogame","Rosaceae","Potentilla crantzii (Crantz) Beck ex Fritsch, 1897","P",1,2019,2019
"178",115498,"Potentilla grandiflora","orophyte méridional","hermaphrodite","entomogame","cyme unipare hélicoïde","akène","barochore","heri","hémicryptophytaie","pelouses acidophiles ouvertes, alpines, mésohydriques, des adrets alpiens","Festucion acuminatae Braun-Blanquet 1926","ccs","barochore","entomogame","Rosaceae","Potentilla grandiflora L., 1753","P",1,2019,2019
"179",115813,"Prenanthes purpurea","européen","hermaphrodite","entomogame","racème de capitules","akène","épizoochore","Heri","hémicryptophytaie","mégaphorbiaies pionnières de clairières acidophiles, méso-eutrophiles, médio-européennes, montagnardes","Prenanthion purpureae Julve 1993","crs","anémochore","entomogame","Asteraceae","Prenanthes purpurea L., 1753","P",1,2019,2019
"180",115868,"Primula farinosa","circumboréal","hermaphrodite","entomogame","ombelle simple","capsule","barochore","hros","hémicryptophytaie","parvocariçaies des tourbières basses centro-européennes à boréomontagnardes, basophiles","Caricion davallianae Klika 1934","css","barochore","entomogame","Primulaceae","Primula farinosa L., 1753","P",1,2019,2019
"181",115875,"Primula hirsuta","orophyte méridional","hermaphrodite","entomogame","ombelle simple","capsule","barochore","hros","hémicryptophytaie","lithophytes des replats de falaises européennes, acidophiles, subalpines à alpines","Androsacetalia vandellii Braun-Blanquet in Meier & Braun-Blanquet 1934",NA,"barochore","entomogame","Primulaceae","Primula hirsuta All., 1773","P",1,2020,2020
"182",116543,"Pyrola minor","circumboréal","hermaphrodite","entomogame, autogame","racème simple","capsule","barochore","grhi","hémicryptophytaie","sous-bois herbacés médio-européens, boréaux à montagnards, des humus bruts (mor)","Goodyerion repentis de Foucault & Julve 2002","css","barochore","entomogame, autogame","Ericaceae","Pyrola minor L., 1753","P",10,2019,2019
"183",117043,"Ranunculus glacialis","arctico-alpin","gynodioïque","entomogame","fleur solitaire terminale","akène","épizoochore","heri","hémicryptophytaie","grpts vivaces des éboulis médio-européens orophiles, acidophiles","Androsacetalia alpinae Braun-Blanquet in Braun-Blanquet & Jenny 1926","css","barochore","entomogame","Ranunculaceae","Ranunculus glacialis L., 1753","P",11,2019,2020
"184",117125,"Ranunculus montanus","européen méridional","hermaphrodite","entomogame","fleur solitaire terminale","akène","épizoochore","hros","hémicryptophytaie","prairies mésohydriques eutrophiles, pâturées, subalpines","Poion alpinae Gams 1927 ex Oberdorfer 1950","ccs","barochore","entomogame","Ranunculaceae","Ranunculus montanus Willd., 1799","P",1,2020,2020
"185",117222,"Ranunculus sartorianus","orophyte méridional","hermaphrodite","entomogame","cyme unipare hélicoïde","akène","barochore","heri","hémicryptophytaie","pelouses acidophiles montagnardes à subalpines","Trifolio alpini - Meetalia athamantici de Foucault 1994","ccs","barochore","entomogame","Ranunculaceae","Ranunculus sartorianus Boiss. & Heldr., 1854","P",6,2019,2019
"186",117590,"Rhinanthus angustifolius","eurasiatique","hermaphrodite","entomogame","épi simple","capsule","anémochore","test-hpar","hémicryptophytaie","pelouses basophiles médio-européennes occidentales, mésohydriques à mésohygroclines","Brizo mediae - Plantaginenea mediae Julve 2019 subcla. nov. hoc loco","rrs","barochore","entomogame","Orobanchaceae","Rhinanthus angustifolius C.C.Gmel., 1806","P",3,2019,2019
"187",117601,"Rhinanthus glacialis","orophyte alpien","hermaphrodite","entomogame","épi simple","capsule","anémochore, myrmécochore","test-hpar","hémicryptophytaie","pelouses acidophiles montagnardes à subalpines","Trifolio alpini - Meetalia athamantici de Foucault 1994",NA,"barochore","entomogame","Orobanchaceae","Rhinanthus glacialis Personnat, 1863","P",1,2020,2020
"188",117679,"Rhododendron ferrugineum","orophyte européen","hermaphrodite","entomogame","ombelle simple","capsule","anémochore","Cfru-semp","magnochaméphytaie","landes subalpines des ubacs, chionophiles","Rhododendro ferruginei - Vaccinion myrtilli (Braun-Blanquet 1926) Schnyder 1930","ccs","barochore","entomogame","Ericaceae","Rhododendron ferrugineum L., 1753","P",30,2019,2020
"189",119149,"Rubus idaeus","eurasiatique septentrional","hermaphrodite","apogame","racème de racèmes","drupe","endozoochore","Hrub(b)","hémicryptophytaie","ronciers de clairières médio-européennes, mésohydriques à mésohygrophiles","Lonicero periclymeni - Rubetea plicati Haveman, Schaminée & Stortelder in Stortelder, Schaminée & Hommel 1999","crs","endozoochore","apogame","Rosaceae","Rubus idaeus L., 1753","P",7,2019,2019
"190",119450,"Rumex arifolius","eurasiatique","dioïque","anémogame","glomérules","akène","anémochore","Heri","hémicryptophytaie","mégaphorbiaies boréales à montagnardes, mésoeutrophiles","Petasito hybridi - Chaerophylletalia hirsuti Morariu 1967","crs","anémochore ?","anémogame","Polygonaceae","Rumex arifolius All., 1773","P",3,2019,2019
"191",119587,"Rumex scutatus","européen méridional","polygame","anémogame","glomérules","akène","anémochore","hsto","hémicryptophytaie","grpts vivaces des éboulis médio-européens orophiles","Noccaeetea rotundifoliae Braun-Blanquet 1947","css","anémochore ?","anémogame","Polygonaceae","Rumex scutatus L., 1753","P",79,2019,2020
"192",119780,"Sagina apetala","européen méridional","hermaphrodite","entomogame, autogame","cyme bipare","capsule","anémochore","test","thérophytaie","annuelles eutrophiles des tonsures surpiétinées, médio-européennes","Lepidio squamati - Polygonetalia avicularis subsp. depressi Lohmeyer 1970",NA,"barochore","entomogame, autogame","Caryophyllaceae","Sagina apetala Ard., 1763","P",6,2019,2019
"193",119798,"Sagina glabra","orophyte méridional","hermaphrodite",NA,"cyme bipare","capsule","barochore","grhi","hémicryptophytaie","pelouses acidophiles montagnardes à subalpines","Trifolio alpini - Meetalia athamantici de Foucault 1994","crs","barochore","entomogame, autogame","Caryophyllaceae","Sagina glabra (Willd.) Fenzl, 1833","P",12,2019,2020
"194",119827,"Sagina saginoides","arctico-alpin","hermaphrodite","entomogame, autogame","cyme bipare","capsule","barochore","hces","hémicryptophytaie","pelouses arctico-alpines climaciques, chionophiles, mésohygrophiles","Salicetea herbaceae Braun-Blanquet 1948",NA,"barochore","entomogame, autogame","Caryophyllaceae","Sagina saginoides (L.) H.Karst., 1882","P",96,2019,2020
"195",119933,"Salix appendiculata","orophyte européen","dioïque","anémogame","épi simple","capsule","anémochore","B-cad","microphanérophytaie","buissons d'arbrisseaux mésohydriques, subalpins","Salici appendiculatae - Alnetea alnobetulae Lacoste 1985","ccc","anémochore","anémogame","Salicaceae","Salix appendiculata Vill., 1789","P",10,2019,2019
"196",119968,"Salix breviserrata","circumboréal","dioïque","anémogame","épi simple","capsule","anémochore","cfru","chaméphytaie","sous-arbrisseaux hydrophiles, boréaux à subalpins","Salicetea bicolori - lapponum Julve 2003 class. nov. hoc loco","ccs","anémochore","anémogame","Salicaceae","Salix breviserrata Flod., 1940","P",1,2020,2020
"197",119977,"Salix caprea","eurasiatique","dioïque","anémogame","épi simple","capsule","anémochore","a-cad","magnophanérophytaie","associations arborescentes de nomades à bois tendres, pionniers des climax caducifoliés et sempervirents du tempéré modal et du tempéré froid eurasiatiques, planitiaires à boréo-subalpins, sur sols oligotrophes à mésotrophes","Betulo pendulae - Populetalia tremulae Rivas-Martínez, Fernández-González, Loidi, Lousã & Penas 2001","ccc","anémochore","anémogame","Salicaceae","Salix caprea L., 1753","P",3,2019,2020
"198",120037,"Salix foetida","orophyte alpien","dioïque","anémogame","épi simple","capsule","anémochore","Cfru","chaméphytaie","sous-arbrisseaux hydrophiles, subalpins","Salicion helveticae Rübel 1912 ex Theurillat in Theurillat, Aeschimann, Küpfer & Spichiger 1995","ccc","anémochore","anémogame","Salicaceae","Salix foetida Schleich. ex DC., 1805","P",1,2019,2019
"199",120048,"Salix glaucosericea","orophyte alpien","dioïque","anémogame","épi simple","capsule","anémochore","Cfru","chaméphytaie","sous-arbrisseaux hydrophiles, subalpins","Salicion helveticae Rübel 1912 ex Theurillat in Theurillat, Aeschimann, Küpfer & Spichiger 1995","ccs","anémochore","anémogame","Salicaceae","Salix glaucosericea Flod., 1943","P",9,2019,2020
"200",120052,"Salix hastata","orophyte alpien","dioïque","anémogame","épi simple","capsule","anémochore","Cfru","chaméphytaie","sous-arbrisseaux hydrophiles, subalpins","Salicion helveticae Rübel 1912 ex Theurillat in Theurillat, Aeschimann, Küpfer & Spichiger 1995","ccc","anémochore","anémogame","Salicaceae","Salix hastata L., 1753","P",28,2019,2020
"201",120056,"Salix helvetica","orophyte alpien","dioïque","anémogame","épi simple","capsule","anémochore","Cfru","chaméphytaie","sous-arbrisseaux hydrophiles, subalpins","Salicion helveticae Rübel 1912 ex Theurillat in Theurillat, Aeschimann, Küpfer & Spichiger 1995","ccs","anémochore","anémogame","Salicaceae","Salix helvetica Vill., 1789","P",22,2019,2020
"202",120057,"Salix herbacea","circumboréal","dioïque","anémogame","épi simple","capsule","anémochore","cfru","hémicryptophytaie","pelouses arctico-alpines climaciques, chionophiles, mésohygrophiles","Salicetea herbaceae Braun-Blanquet 1948","css","anémochore","anémogame","Salicaceae","Salix herbacea L., 1753","P",33,2019,2020
"203",120085,"Salix laggeri","orophyte alpien","dioïque","anémogame","épi simple","capsule","anémochore","b-cad","nanophanérophytaie","buissons d'arbrisseaux mésohydriques, subalpins","Salici appendiculatae - Alnetea alnobetulae Lacoste 1985","ccc","anémochore","anémogame","Salicaceae","Salix laggeri Wimm., 1854","P",33,2019,2020
"204",120135,"Salix myrsinifolia","eurasiatique","dioïque","anémogame","épi simple","capsule","anémochore","b-cad","nanophanérophytaie","buissons d'arbrisseaux mésohydriques, subalpins","Salici appendiculatae - Alnetea alnobetulae Lacoste 1985","ccc","anémochore","anémogame","Salicaceae","Salix myrsinifolia Salisb., 1796","P",21,2019,2020
"205",120193,"Salix reticulata","arctico-alpin","dioïque","anémogame","épi simple","capsule","anémochore","cfru","hémicryptophytaie","pelouses alpines climaciques chionophiles, basophiles","Arabidetalia caeruleae Rübel 1933 ex Nordhagen 1936","css","anémochore","anémogame","Salicaceae","Salix reticulata L., 1753","P",2,2019,2019
"206",120195,"Salix retusa","orophyte européen","dioïque","anémogame","épi simple","capsule","anémochore","cfru","hémicryptophytaie","pelouses alpines climaciques chionophiles, basophiles","Arabidetalia caeruleae Rübel 1933 ex Nordhagen 1936","css","anémochore","anémogame","Salicaceae","Salix retusa L., 1759","P",34,2019,2020
"207",120219,"Salix serpyllifolia","orophyte alpien","dioïque","anémogame","épi simple","capsule","anémochore","cfru","hémicryptophytaie","pelouses alpines climaciques chionophiles, basophiles","Arabidion caeruleae Braun-Blanquet in Braun-Blanquet & Jenny 1926","css","anémochore","anémogame","Salicaceae","Salix serpyllifolia Scop., 1772","P",3,2019,2020
"208",120965,"Saxifraga aizoides","arctico-alpin","hermaphrodite","entomogame","racème de racèmes","capsule","barochore","hsto","hémicryptophytaie","hémicryptophytaies des sources neutrophiles, montagnardes à subalpines","Arabidion soyeri subsp. subcoriaceae Julve 1993 prov.","css","barochore","entomogame","Saxifragaceae","Saxifraga aizoides L., 1753","P",54,2019,2020
"209",120973,"Saxifraga androsacea","eurasiatique","hermaphrodite","entomogame","racème simple","capsule","barochore","hces","hémicryptophytaie","pelouses alpines climaciques chionophiles, basophiles","Arabidetalia caeruleae Rübel 1933 ex Nordhagen 1936","sss","barochore","entomogame","Saxifragaceae","Saxifraga androsacea L., 1753","P",2,2020,2020
"210",120978,"Saxifraga aspera","orophyte méridional","hermaphrodite","entomogame","racème simple","capsule","barochore","hces","hémicryptophytaie","lithophytes des replats de falaises européennes, acidophiles, subalpines à alpines","Androsacetalia vandellii Braun-Blanquet in Meier & Braun-Blanquet 1934","css","barochore","entomogame","Saxifragaceae","Saxifraga aspera L., 1753","P",6,2019,2020
"211",120988,"Saxifraga bryoides","orophyte européen","hermaphrodite","entomogame","racème simple","capsule","barochore","heri","hémicryptophytaie","lithophytes des replats de falaises européennes, acidophiles, subalpines à alpines","Androsacetalia vandellii Braun-Blanquet in Meier & Braun-Blanquet 1934","css","barochore","entomogame","Saxifragaceae","Saxifraga bryoides L., 1753","P",128,2019,2020
"212",121047,"Saxifraga exarata","orophyte alpien","hermaphrodite","entomogame","racème simple","capsule","barochore","hces","hémicryptophytaie","lithophytes des dalles en pente de falaises basophiles, subalpins à montagnards, alpiens et auvergnat","Potentillion caulescentis Braun-Blanquet in Braun-Blanquet & Jenny 1926","sss","barochore","entomogame","Saxifragaceae","Saxifraga exarata Vill., 1779","P",14,2019,2020
"213",121115,"Saxifraga moschata","orophyte européen","hermaphrodite","entomogame","racème simple","capsule","barochore","hces","hémicryptophytaie","lithophytes des dalles en pente de falaises basophiles, orophiles","Potentilletalia caulescentis Braun-Blanquet in Braun-Blanquet & Jenny 1926",NA,"barochore","entomogame","Saxifragaceae","Saxifraga moschata Wulfen, 1781","P",6,2019,2019
"214",121132,"Saxifraga oppositifolia","circumboréal","hermaphrodite","entomogame","racème simple","capsule","barochore","hsto","hémicryptophytaie","Gprts vivaces des éboulis fins stabilisés sur schistes calcareux et moraines des étages alpin et nival","Drabion hoppeanae Zollitsch 1968","css","barochore","entomogame","Saxifragaceae","Saxifraga oppositifolia L., 1753","P",65,2019,2020
"215",121139,"Saxifraga paniculata","circumboréal","hermaphrodite","entomogame","racème de racèmes","capsule","barochore","heri","hémicryptophytaie","lithophytes des dalles en pente de falaises basophiles, orophiles","Potentilletalia caulescentis Braun-Blanquet in Braun-Blanquet & Jenny 1926","sss","barochore","entomogame","Saxifragaceae","Saxifraga paniculata Mill., 1768","P",42,2019,2020
"216",611356,"Scorzoneroides pyrenaica","orophyte méridional","hermaphrodite","entomogame","capitule simple","akène","anémochore","hros","hémicryptophytaie","pelouses acidophiles montagnardes à subalpines","Trifolio alpini - Meetalia athamantici de Foucault 1994","crs","anémochore","entomogame","Asteraceae","Scorzoneroides pyrenaica (Gouan) Holub, 1977","P",51,2019,2020
"217",122106,"Sedum album","eurasiatique","hermaphrodite","entomogame, autogame","cyme multipare","follicule","anémochore","csuf-suc","hémicryptophytaie","lithophytes des dalles horizontales européennes héliophiles, planitiaires à orophiles","Sedo albi - Scleranthetea perennis subsp. perennis (Braun-Blanquet 1955) Julve 2014 cla. nov. hoc loco","sss","barochore","entomogame","Crassulaceae","Sedum album L., 1753","P",2,2019,2019
"218",122107,"Sedum alpestre","orophyte méridional","hermaphrodite","entomogame","cyme multipare","follicule","anémochore","csuf-suc","hémicryptophytaie","pelouses alpines climaciques chionophiles, acidophiles","Salicetalia herbaceae Braun-Blanquet in Braun-Blanquet & Jenny 1926","sss","barochore","entomogame","Crassulaceae","Sedum alpestre Vill., 1779","P",66,2019,2020
"219",122116,"Sedum annuum","orophyte méridional","hermaphrodite","entomogame","cyme multipare","follicule","anémochore","test-suc","thérophytaie","annuelles des tonsures acidophiles, mésothermes à thermophiles","Tuberarietalia guttatae Braun-Blanquet in Braun-Blanquet, Molinier & Wagner 1940 em. Rivas-Martínez 1978","sss","barochore","entomogame","Crassulaceae","Sedum annuum L., 1753","P",2,2019,2019
"220",122124,"Sedum atratum","orophyte méridional","hermaphrodite","entomogame","cyme multipare","follicule","anémochore","test-suc","thérophytaie","annuelles des tonsures acidophiles, mésothermes à thermophiles","Tuberarietalia guttatae Braun-Blanquet in Braun-Blanquet, Molinier & Wagner 1940 em. Rivas-Martínez 1978","rss","barochore","entomogame","Crassulaceae","Sedum atratum L., 1763","P",59,2019,2020
"221",122150,"Sedum dasyphyllum","méditerranéen(eury)","hermaphrodite","entomogame","cyme multipare","follicule","anémochore","ccou-suc","hémicryptophytaie","lithophytes des dalles horizontales européennes héliophiles, planitiaires à orophiles","Sedo albi - Scleranthetea perennis subsp. perennis (Braun-Blanquet 1955) Julve 2014 cla. nov. hoc loco","sss","barochore","entomogame","Crassulaceae","Sedum dasyphyllum L., 1753","P",5,2019,2019
