id_releve,orga_fournisseur,programmes,date_releve_deb,date_releve_fin,releve_type,observateurs,insee,lieudit,comm_loc,comm_milieu,lithologie,geologie,exposition,pente,rec_total,refbiblio,page,code_perso,id_precision,x_l93,y_l93
8659287,Conservatoire botanique national alpin,ROCVEG,7/21/2020,7/21/2020,Relevé de terrain,VALLEE Sophie / ISENMANN Marc / MERHAN Baptiste / SEGURA Paul / PERRON Rémy,73280,Glacier de Saint-Sorlin ,Glacier de Saint-Sorlin ,Marge proglaciaire,,,,,5-10%,,,Band : LIA,P,948926,6458252
8659289,Conservatoire botanique national alpin,ROCVEG,7/21/2020,7/21/2020,Relevé de terrain,VALLEE Sophie / ISENMANN Marc / MERHAN Baptiste / SEGURA Paul / PERRON Rémy,73280,Glacier de Saint-Sorlin ,Glacier de Saint-Sorlin ,Marge proglaciaire ;  LIA-99= LIA-06 ; choix aléatoire sur terrain,,,,,>75%,,,Band : LIA,P,949240,6458031
8659290,Conservatoire botanique national alpin,ROCVEG,7/22/2020,7/22/2020,Relevé de terrain,VALLEE Sophie / ISENMANN Marc / MERHAN Baptiste / SEGURA Paul / PERRON Rémy,73280,Glacier de Saint-Sorlin ,Glacier de Saint-Sorlin ,Marge proglaciaire,,,,,5-10%,,,Band : 3,P,949109,6457126
8659291,Conservatoire botanique national alpin,ROCVEG,7/22/2020,7/22/2020,Relevé de terrain,VALLEE Sophie / ISENMANN Marc / MERHAN Baptiste / SEGURA Paul / PERRON Rémy,73280,Glacier de Saint-Sorlin ,Glacier de Saint-Sorlin ,"Marge proglaciaire ; Slab : 17 ; décalé car inaccessible, torrent",,,,,5-10%,,,Band : 2,P,949071,6457091
8659295,Conservatoire botanique national alpin,ROCVEG,7/22/2020,7/22/2020,Relevé de terrain,VALLEE Sophie / ISENMANN Marc / MERHAN Baptiste / SEGURA Paul / PERRON Rémy,73280,Glacier de Saint-Sorlin ,Glacier de Saint-Sorlin ,Marge proglaciaire ; Sand: +,,,,,10-25%,,,Band : 2,P,949053,6457257
8659300,Conservatoire botanique national alpin,ROCVEG,7/22/2020,7/22/2020,Relevé de terrain,VALLEE Sophie / ISENMANN Marc / MERHAN Baptiste / SEGURA Paul / PERRON Rémy,73280,Glacier de Saint-Sorlin ,Glacier de Saint-Sorlin ,Marge proglaciaire ; Slab : 20 ; 0.5% de déchet plastique,,,,,10-25%,,,Band : 3,P,949129,6457226
8659305,Conservatoire botanique national alpin,ROCVEG,7/22/2020,7/22/2020,Relevé de terrain,VALLEE Sophie / ISENMANN Marc / MERHAN Baptiste / SEGURA Paul / PERRON Rémy,73280,Glacier de Saint-Sorlin ,Glacier de Saint-Sorlin ,Marge proglaciaire,,,,,<5%,,,Band : 3,P,949322,6457223
8659308,Conservatoire botanique national alpin,ROCVEG,7/22/2020,7/22/2020,Relevé de terrain,VALLEE Sophie / ISENMANN Marc / MERHAN Baptiste / SEGURA Paul / PERRON Rémy,73280,Glacier de Saint-Sorlin ,Glacier de Saint-Sorlin ,Marge proglaciaire,,,,,25-50%,,,Band : LIA,P,949570,6457811
8659313,Conservatoire botanique national alpin,ROCVEG,7/21/2020,7/21/2020,Relevé de terrain,VALLEE Sophie / ISENMANN Marc / MERHAN Baptiste / SEGURA Paul / PERRON Rémy,73280,Glacier de Saint-Sorlin ,Glacier de Saint-Sorlin ,Marge proglaciaire,,,,,5-10%,,,Band : 1,P,949570,6457811
8659326,Conservatoire botanique national alpin,ROCVEG,7/21/2020,7/21/2020,Relevé de terrain,VALLEE Sophie / ISENMANN Marc / MERHAN Baptiste / SEGURA Paul / PERRON Rémy,73280,Glacier de Saint-Sorlin ,Glacier de Saint-Sorlin ,Marge proglaciaire ; Slab: 8,,,,,5-10%,,,Band : 1,P,948859,6457090
