cd_ref,famille,nom_valide,tax_type,nbre_obs,annee_min,annee_max
91410,Asteraceae,"Cirsium spinosissimum (L.) Scop., 1769",P,15,2019,2020
93004,Asteraceae,"Crepis aurea (L.) Tausch, 1828",P,1,2019,2019
93027,Asteraceae,"Crepis conyzifolia (Gouan) A.Kern., 1872",P,1,2020,2020
93469,Pteridaceae,"Cryptogramma crispa (L.) R.Br. ex Hook., 1842",P,2,2019,2020
94066,Cystopteridaceae,"Cystopteris fragilis (L.) Bernh., 1805",P,14,2019,2020
94207,Poaceae,"Dactylis glomerata L., 1753",P,1,2019,2019
94266,Orchidaceae,"Dactylorhiza maculata (L.) Soó, 1962",P,3,2020,2020
95056,Lycopodiaceae,"Diphasiastrum alpinum (L.) Holub, 1975",P,2,2019,2020
95225,Asteraceae,"Doronicum grandiflorum Lam., 1786",P,10,2020,2020
95356,Brassicaceae,"Draba siliquosa M.Bieb., 1808",P,4,2019,2020
95461,Rosaceae,"Dryas octopetala L., 1753",P,2,2019,2020
95567,Dryopteridaceae,"Dryopteris filix-mas (L.) Schott, 1834",P,18,2019,2020
96127,Onagraceae,"Epilobium alpestre (Jacq.) Krock., 1787",P,1,2019,2019
96130,Onagraceae,"Epilobium alsinifolium Vill., 1779",P,7,2019,2020
96134,Onagraceae,"Epilobium anagallidifolium Lam., 1786",P,28,2019,2020
96136,Onagraceae,"Epilobium angustifolium L., 1753",P,8,2019,2020
96163,Onagraceae,"Epilobium dodonaei Vill., 1779",P,1,2019,2019
96208,Onagraceae,"Epilobium montanum L., 1753",P,1,2019,2019
96736,Asteraceae,"Erigeron alpinus L., 1753",P,4,2019,2019
96805,Asteraceae,"Erigeron schleicheri Gremli, 1886",P,1,2019,2019
96816,Asteraceae,"Erigeron uniflorus L., 1753",P,1,2019,2019
97725,Orobanchaceae,"Euphrasia alpina Lam., 1786",P,1,2020,2020
97772,Orobanchaceae,"Euphrasia minima Jacq. ex DC., 1805",P,41,2019,2020
97804,Orobanchaceae,"Euphrasia salisburgensis Funck, 1794",P,12,2019,2019
98039,Poaceae,"Festuca acuminata Gaudin, 1811",P,11,2019,2020
98054,Poaceae,"Festuca alpina Suter, 1802",P,1,2020,2020
98272,Poaceae,"Festuca halleri All., 1785",P,28,2019,2020
98280,Poaceae,"Festuca heterophylla Lam., 1779",P,1,2019,2019
98370,Poaceae,"Festuca melanopsis Foggi, Gr.Rossi & Signorini, 1999",P,14,2019,2019
98404,Poaceae,"Festuca nigrescens Lam., 1788",P,11,2019,2020
98512,Poaceae,"Festuca rubra L., 1753",P,1,2019,2019
98598,Poaceae,"Festuca varia Haenke, 1789",P,3,2020,2020
98607,Poaceae,"Festuca violacea Ser. ex Gaudin, 1808",P,21,2019,2020
