cd_ref,famille,nom_valide,nom_cite,cd_nom,nom_reconnu,nom_reconnu_ss_date,nom_reconnu_ss_auteur,ID,rang_taxinomique,N°_Taxinomique_BDNFF,N°_Nomenclatural_BDNFF,code_CATMINAT,NOM_SCIENTIFIQUE,CHOROLOGIE,inflorescence,sexualité,ordre_maturation,pollinisation,fruit,dissémination,couleur_fleur,macule,floraison,type_ligneux,Champ17,TYPE_BIOLOGIQUE,FORMATION_VEGETALE,CARACT_ECOLOG_HABITAT_OPTI,INDICATION_PHYTOSOCIOLOGIQUE_CARACTERISTIQUE,INDICATION_CARACTERISTIQUE_TRANSGRESSIVE,INDICATION_DIFFERENTIELLE_1,INDICATION_DIFFERENTIELLE_2,INDICATION_DIFFERENTIELLE_3,Lumière,Température,Continentalité,Humidité_atmosphérique,Humidité_édaphique,Réaction_du_sol_(pH),Niveau_trophique,Salinité,Texture,Matière_organique,Lichtzahl,Temperaturzahl,Kontinentalität,Feuchtzahl,Reaktionszahl,Nutrients,Salz,CLASSE_(-opsida),SUBCLASSE_(-idae),Clade_intermédiaire,SUPERORDRE_(-anae),Champ47,Champ48,Champ49,ORDRE_(-ales),FAMILLE_(-aceae),numSpA,numSpB,numSpH,nomA,nomB,nomH
90863,Caryophyllaceae,"Cherleria sedoides L., 1753","Minuartia sedoides (L.) Hiern, 1899",108616,"Cherleria sedoides L., 1753",Cherleria sedoides L.,Cherleria sedoides,1882,esp,2124,16947,11/5.0.1,Cherleria sedoides L.,orophyte méridional,cyme bipare,gynodioïque,,entomogame,capsule,barochore,blanc,,8-Jul,,,hces,hémicryptophytaie,"pelouses acidophiles alpines climaciques, chionophobes",Caricetalia curvulae subsp. curvulae Braun-Blanquet in Braun-Blanquet & Jenny 1926,Caricetalia myosuroidis Oberdorfer 1957,,,,9,1,3,2,4,3,1,0,6,1,9,1,2,4,4,1,0,Magnoliopsida,Magnoliidae,Eudicots,Caryophyllanae,,,,Caryophyllales,Caryophyllaceae,0,0,1065,,,Minuartia sedoides
91410,Asteraceae,"Cirsium spinosissimum (L.) Scop., 1769","Cirsium spinosissimum (L.) Scop., 1769",91410,"Cirsium spinosissimum (L.) Scop., 1769",Cirsium spinosissimum (L.) Scop.,Cirsium spinosissimum,1934,esp,30046,75054,05/1.0.1.0.1,Cirsium spinosissimum (L.) Scop.,orophyte alpien,racème de capitules,hermaphrodite,,"entomogame, autogame",akène,anémochore,blanc,,8-Jul,,,heri,hémicryptophytaie,"mégaphorbiaies subalpines, hygrophiles, mésotrophiles, basophiles, des adrets",Adenostylion alliariae Braun-Blanquet 1926,,,,,8,2,6,6,5,8,8,0,3,3,7,2,5,6,7,8,0,Magnoliopsida,Magnoliidae,Eudicots,Asteranae,,,Asterids,Asterales,Asteraceae,0,0,2972,,,Cirsium spinosissimum
93027,Asteraceae,"Crepis conyzifolia (Gouan) A.Kern., 1872","Crepis conyzifolia (Gouan) A.Kern., 1872",93027,"Crepis conyzifolia (Gouan) A.Kern., 1872",Crepis conyzifolia (Gouan) A.Kern.,Crepis conyzifolia,2183,esp,717,19635,09/1.0.2.0.7,Crepis conyzifolia (Gouan) A.Kern.,orophyte méridional,racème de capitules,hermaphrodite,,"entomogame, autogame",akène,anémochore,jaune,,8-Jul,,,heri,hémicryptophytaie,"pelouses acidophiles ouvertes, alpines, chionophiles, mésohydriques, des ubacs pyrénéens",Festucion eskiae Braun-Blanquet 1948,,,,,7,2,4,5,5,2,2,0,4,4,9,3,4,5~,2,2,0,Magnoliopsida,Magnoliidae,Eudicots,Asteranae,,,Asterids,Asterales,Asteraceae,0,0,3308,,,Crepis conyzifolia
94066,Cystopteridaceae,"Cystopteris fragilis (L.) Bernh., 1805","Cystopteris fragilis (L.) Bernh., 1805",94066,"Cystopteris fragilis (L.) Bernh., 1805",Cystopteris fragilis (L.) Bernh.,Cystopteris fragilis,2318,esp,7470,20891,07/2.0.4.0.1,Cystopteris fragilis (L.) Bernh.,cosmopolite,,monoïque,,hydrogame,,anémochore,,,,,,hces,hémicryptophytaie,,Cystopteridion fragilis (Nordhagen 1936) Richard 1972,,,,,5,5,5,7,6,8,3,0,9,1,5,,3,7,8,4,0,Polypodiopsida,Polypodiidae,,Filicanae,,,,Filicales s. l.,Woodsiaceae,0,0,35,,,Cystopteris fragilis
94207,Poaceae,"Dactylis glomerata L., 1753","Dactylis glomerata L., 1753",94207,"Dactylis glomerata L., 1753",Dactylis glomerata L.,Dactylis glomerata,2351,esp,6754,21111,12/1.1.1,Dactylis glomerata L.,eurasiatique méridional,panicule d'épillets,hermaphrodite,,anémogame,caryopse,épizoochore,vert,,9-Apr,,,Hces,hémicryptophytaie,"prairies mésohydriques, fauchées, planitiaires à montagnardes",Arrhenatheretalia elatioris subsp. elatioris Tüxen 1931,,Mesobromopsidenion erectae Braun-Blanquet & Moor 1938,,,7,5,5,5,5,5,7,0,2,3,7,,3,5,x,6,0,Magnoliopsida,Magnoliidae,Monocots,Lilianae,,,Commelinids,Poales,Poaceae,0,0,294,,,Dactylis glomerata
94266,Orchidaceae,"Dactylorhiza maculata (L.) Soó, 1962","Dactylorhiza maculata (L.) Soó, 1962",94266,"Dactylorhiza maculata (L.) Soó, 1962",Dactylorhiza maculata (L.) Soó,Dactylorhiza maculata,2372,esp,6437,21403,06/1.1,Dactylorhiza maculata (L.) Soó,eurasiatique septentrional,épi simple,hermaphrodite,,entomogame,capsule,anémochore,"blanc, rose",rose,7-May,,,gtub,hémicryptophytaie,hémicrypto-géophytaies des tourbières médio-européennes à boréo-subalpines,Molinio caeruleae - Caricenea nigrae subsp. nigrae (Julve 1983) de Foucault 1984,,,,,7,5,5,8,8,5,2,0,1,9,7,,2,8~,x,2,0,Magnoliopsida,Magnoliidae,Monocots,,,,,Asparagales,Orchidaceae,0,0,777,,,Dactylorhiza maculata
95225,Asteraceae,"Doronicum grandiflorum Lam., 1786","Doronicum grandiflorum Lam., 1786",95225,"Doronicum grandiflorum Lam., 1786",Doronicum grandiflorum Lam.,Doronicum grandiflorum,2572,esp,756,22761,08/20.0.2,Doronicum grandiflorum Lam.,orophyte méridional,racème de capitules,hermaphrodite,,entomogame,akène,épizoochore,jaune,,8-Jul,,,heri,hémicryptophytaie,"grpts vivaces des éboulis basophiles, psychrophiles, montagnards (ubacs) à alpins, héliophiles",Noccaeetalia rotundifoliae Braun-Blanquet in Braun-Blanquet & Jenny 1926 em. Seibert in Oberdorfer 1977,,,,,8,1,5,4,4,8,4,0,7,1,,,,,,,,Magnoliopsida,Magnoliidae,Eudicots,Asteranae,,,Asterids,Asterales,Asteraceae,0,0,10891,,,Dianthus caryophyllus
95356,Brassicaceae,"Draba siliquosa M.Bieb., 1808","Draba siliquosa M.Bieb., 1808",95356,"Draba siliquosa M.Bieb., 1808",Draba siliquosa M.Bieb.,Draba siliquosa,2585,esp,1647,22965,11/7.0.1,Draba siliquosa M.Bieb.,orophyte méridional,racème simple,hermaphrodite,,entomogame,silique,anémochore,blanc,,8-Jul,,,hros,hémicryptophytaie,"pelouses basophiles arctico-alpines climaciques, chionophobes, européennes occidentales",Caricetalia myosuroidis Oberdorfer 1957,,,,,8,2,4,5,5,6,2,0,6,7,8,2,4,5,6,2,0,Magnoliopsida,Magnoliidae,Eudicots,Rosanae,,,Rosids,Brassicales,Brassicaceae,0,0,1303,,,Draba siliquosa
95461,Rosaceae,"Dryas octopetala L., 1753","Dryas octopetala L., 1753",95461,"Dryas octopetala L., 1753",Dryas octopetala L.,Dryas octopetala,2601,esp,4737,23128,14/3.,Dryas octopetala L.,arctico-alpin,fleur solitaire latérale,gynodioïque,,"entomogame, autogame",akène,anémochore,blanc,,8-Jul,,,csuf,hémicryptophytaie,"landines chionophobes basophiles, arctico-alpines, climaciques",Dryadetea octopetalae Julve 2016 cla. nov. hoc loco,,,,,9,2,5,4,4,8,3,0,6,1,9,2,7,4,8,4,0,Magnoliopsida,Magnoliidae,Eudicots,Rosanae,,,Rosids,Rosales,Rosaceae,0,0,1607,,,Dryas octopetala
95567,Dryopteridaceae,"Dryopteris filix-mas (L.) Schott, 1834","Dryopteris filix-mas (L.) Schott, 1834",95567,"Dryopteris filix-mas (L.) Schott, 1834",Dryopteris filix-mas (L.) Schott,Dryopteris filix-mas,2617,esp,7379,23262,10/3.,Dryopteris filix-mas (L.) Schott,circumboréal,,monoïque,,hydrogame,,anémochore,,,10-Jun,,,Hces,hémicryptophytaie,"sous-bois herbacés médio-européens, planitiaires à montagnards",Anemono nemorosae - Caricetea sylvaticae Gillet 1986 em. Julve 1993,,,,,3,5,5,7,5,5,6,0,3,4,3,,3,5,5,6,0,Polypodiopsida,Polypodiidae,,Filicanae,,,,Filicales s. l.,Dryopteridaceae,0,0,22,,,Dryopteris filix-mas
134095,Ericaceae,"Empetrum nigrum subsp. hermaphroditum (Hagerup) Böcher, 1952","Empetrum nigrum subsp. hermaphroditum (Hagerup) Böcher, 1952",134095,"Empetrum nigrum subsp. hermaphroditum (Hagerup) Böcher, 1952",Empetrum nigrum subsp. hermaphroditum (Hagerup) Böcher,Empetrum nigrum subsp. hermaphroditum,2732,subsp,2646,23936,14/1.,Empetrum nigrum subsp. hermaphroditum (Hagerup) Böcher,arctico-alpin,glomérules,hermaphrodite,,"entomogame, anémogame",baie,endozoochore,"blanc, rose",,7-Jun,sous-arbrisseau,"0,3",cfru-semp,parvochaméphytaie,"landines chionophobes, acidophiles, arctico-alpines, climaciques",Kalmio procumbentis - Vaccinietea uliginosi subsp. microphylli Eggler 1952 ex Schubert 1960,,Ledetalia palustris Nordhagen 1936,,,8,2,6,6,6,3,3,0,1,9,8,3,,6,4,2,0,Magnoliopsida,Magnoliidae,Eudicots,Asteranae,,,Asterids,Ericales,Ericaceae,0,0,2269,,,Empetrum nig. hermaphroditum
96127,Onagraceae,"Epilobium alpestre (Jacq.) Krock., 1787","Epilobium alpestre (Jacq.) Krock., 1787",96127,"Epilobium alpestre (Jacq.) Krock., 1787",Epilobium alpestre (Jacq.) Krock.,Epilobium alpestre,2741,esp,3882,24027,05/1.0.1,Epilobium alpestre (Jacq.) Krock.,orophyte méridional,racème simple,hermaphrodite,,entomogame,capsule,anémochore,rose,,8-Jul,,,Heri,hémicryptophytaie,mégaphorbiaies subalpines d'Europe occidentale,Adenostyletalia alliariae G. & J. Braun-Blanquet 1931,,,,,7,2,6,8,6,6,8,0,1,8,7,3,4,6,7,8,0,Magnoliopsida,Magnoliidae,Eudicots,Rosanae,,,Rosids,Myrtales,Onagraceae,0,0,2118,,,Epilobium alpestre
96130,Onagraceae,"Epilobium alsinifolium Vill., 1779",Epilobium alsinifolium,96130,"Epilobium alsinifolium Vill., 1779",Epilobium alsinifolium Vill.,Epilobium alsinifolium,2742,esp,3883,24033,04/2.,Epilobium alsinifolium Vill.,arctico-alpin,racème simple,hermaphrodite,,autogame,capsule,anémochore,rose,,8-Jul,,,hsto,hémicryptophytaie,hémicryptophytaies des sources laurasiennes,Montio fontanae - Cardaminetea amarae Braun-Blanquet & Tüxen 1943,,,,,6,3,4,9,8,5,5,0,2,9,8,2,2,9,6,5,0,Magnoliopsida,Magnoliidae,Eudicots,Rosanae,,,Rosids,Myrtales,Onagraceae,0,0,2115,,,Epilobium alsinifolium
96134,Onagraceae,"Epilobium anagallidifolium Lam., 1786","Epilobium anagallidifolium Lam., 1786",96134,"Epilobium anagallidifolium Lam., 1786",Epilobium anagallidifolium Lam.,Epilobium anagallidifolium,2743,esp,3884,24039,11/6.,Epilobium anagallidifolium Lam.,arctico-alpin,racème simple,hermaphrodite,,autogame,capsule,anémochore,rose,,8-Jul,,,hsto,hémicryptophytaie,"pelouses arctico-alpines climaciques, chionophiles, mésohygrophiles",Salicetea herbaceae Braun-Blanquet 1948,,Noccaeetea rotundifoliae Braun-Blanquet 1947,,,8,2,3,8,7,5,4,0,6,7,8,2,3,7,5,4,0,Magnoliopsida,Magnoliidae,Eudicots,Rosanae,,,Rosids,Myrtales,Onagraceae,0,0,4198,,,Epilobium lactiflorum
96136,Onagraceae,"Epilobium angustifolium L., 1753","Epilobium angustifolium L., 1753",96136,"Epilobium angustifolium L., 1753",Epilobium angustifolium L.,Epilobium angustifolium,2744,esp,3885,24043,13/8.,Epilobium angustifolium L.,circumboréal,racème simple,hermaphrodite,,entomogame,capsule,anémochore,rose,,9-Jun,,,Heri,hémicryptophytaie,"mégaphorbiaies pionnières et ronciers de clairières médio-européennes, mésohydriques à mésohygrophiles",Epilobietea angustifolii Tüxen & Preising in Tüxen 1950,,Atropo bellae-donae - Rubetalia macrophylli Gillet prov. in Julve 1993,,,5,5,5,5,5,4,7,0,3,4,8,,5,5,5,8,0,Magnoliopsida,Magnoliidae,Eudicots,Rosanae,,,Rosids,Myrtales,Onagraceae,0,0,2105,,,Epilobium angustifolium
134114,Onagraceae,"Epilobium dodonaei subsp. fleischeri (Hochst.) Schinz & Thell., 1923","Epilobium dodonaei subsp. fleischeri (Hochst.) Schinz & Thell., 1923",134114,"Epilobium dodonaei subsp. fleischeri (Hochst.) Schinz & Thell., 1923",Epilobium dodonaei subsp. fleischeri (Hochst.) Schinz & Thell.,Epilobium dodonaei subsp. fleischeri,2749,subsp,3889,24104,08/22.0.1.0.1,Epilobium dodonaei subsp. fleischeri (Hochst.) Schinz & Thell.,orophyte alpien,racème simple,hermaphrodite,,entomogame,capsule,anémochore,rose,,8-Jun,,,hsto,hémicryptophytaie,grpts vivaces hygrophiles des alluvions grossières orophiles,Epilobion dodonaei subsp. fleischeri Braun-Blanquet in G. & J. Braun-Blanquet 1931,,,,,8,3,6,7,6,5,6,0,7,1,9,4,5,4~,x,2,0,Magnoliopsida,Magnoliidae,Eudicots,Rosanae,,,Rosids,Myrtales,Onagraceae,0,0,2162,,,Laserpitium latifolium
96163,Onagraceae,"Epilobium dodonaei Vill., 1779","Epilobium dodonaei Vill., 1779",96163,"Epilobium dodonaei Vill., 1779",Epilobium dodonaei Vill.,Epilobium dodonaei,2750,esp,3888,24101,08/22.0.1.0.1,Epilobium dodonaei Vill.,orophyte alpien,racème simple,hermaphrodite,,entomogame,capsule,anémochore,rose,,,,,hsto,hémicryptophytaie,grpts vivaces hygrophiles des alluvions grossières orophiles,Epilobion dodonaei subsp. fleischeri Braun-Blanquet in G. & J. Braun-Blanquet 1931,,,,,8,3,6,7,6,5,6,0,7,1,,,,,,,,Magnoliopsida,Magnoliidae,Eudicots,Rosanae,,,Rosids,Myrtales,Onagraceae,0,0,2107,,,Epilobium fleischeri
96208,Onagraceae,"Epilobium montanum L., 1753","Epilobium montanum L., 1753",96208,"Epilobium montanum L., 1753",Epilobium montanum L.,Epilobium montanum,2755,esp,3893,24206,13/2.0.1.0.2,Epilobium montanum L.,eurasiatique,racème simple,hermaphrodite,,"entomogame, autogame",capsule,anémochore,rose,,9-Jun,,,heri,hémicryptophytaie,"ourlets internes eutrophiles, hémisciaphiles, vernaux",Geo urbani - Brachypodion sylvatici Julve 2019 all. nov. hoc loco,,,,,5,5,5,6,5,5,6,0,3,3,4,,3,5,6,6,0,Magnoliopsida,Magnoliidae,Eudicots,Rosanae,,,Rosids,Myrtales,Onagraceae,0,0,2111,,,Epilobium montanum
96736,Asteraceae,"Erigeron alpinus L., 1753",Erigeron alpinus,96736,"Erigeron alpinus L., 1753",Erigeron alpinus L.,Erigeron alpinus,2874,esp,9944,24835,09/20.,Erigeron alpinus L.,européen méridional,racème de capitules,hermaphrodite,,"entomogame, autogame",akène,anémochore,"jaune, rose",,8-Jul,,,hros,hémicryptophytaie,"pelouses basophiles subalpines, pionnières, chionophiles",Seslerietea caeruleae Braun-Blanquet 1948 em. Oberdorfer 1978,,,,,8,1,5,6,5,7,3,0,3,2,8,1,5,5,x,3,0,Magnoliopsida,Magnoliidae,Eudicots,Asteranae,,,Asterids,Asterales,Asteraceae,0,0,3148,,,Erigeron alpinus
96805,Asteraceae,"Erigeron schleicheri Gremli, 1886","Erigeron schleicheri Gremli, 1886",96805,"Erigeron schleicheri Gremli, 1886",Erigeron schleicheri Gremli,Erigeron schleicheri,2887,esp,777,24947,08/2.1.1,Erigeron schleicheri Gremli,orophyte méridional,racème de capitules,hermaphrodite,,"entomogame, autogame",akène,anémochore,,,,,,hros,hémicryptophytaie,"lithophytes des replats de falaises européennes, acidophiles, subalpines à alpines",Androsacetalia vandellii Braun-Blanquet in Meier & Braun-Blanquet 1934,,,,,7,2,4,6,4,4,2,0,8,1,7,2,4,4,4,?,0,Magnoliopsida,Magnoliidae,Eudicots,Asteranae,,,Asterids,Asterales,Asteraceae,0,0,1304,,,Draba dubia
96816,Asteraceae,"Erigeron uniflorus L., 1753",Erigeron uniflorus,96816,"Erigeron uniflorus L., 1753",Erigeron uniflorus L.,Erigeron uniflorus,2890,esp,30103,75111,11/7.,Erigeron uniflorus L.,arctico-alpin,racème de capitules,hermaphrodite,,"entomogame, autogame",akène,anémochore,"blanc, rose",jaune,8-Jul,,,hros,hémicryptophytaie,"pelouses basophiles arctico-alpines climaciques, chionophobes, holarctiques",Caricetea rupestro - myosuroidis Ohba 1974,,,,,9,1,6,5,5,6,2,0,5,7,9,1,6,5,5,2,0,Magnoliopsida,Magnoliidae,Eudicots,Asteranae,,,Asterids,Asterales,Asteraceae,0,0,3151,,,Erigeron uniflorus
97725,Orobanchaceae,"Euphrasia alpina Lam., 1786","Euphrasia alpina Lam., 1786",97725,"Euphrasia alpina Lam., 1786",Euphrasia alpina Lam.,Euphrasia alpina,3066,esp,5326,26140,09/1.0.2.0.5,Euphrasia alpina Lam.,orophyte méridional,racème d'épis,hermaphrodite,,"entomogame, autogame",capsule,anémochore,"bleu, blanc",,9-May,,,test-hpar,hémicryptophytaie,"pelouses acidophiles ouvertes, alpines, mésohydriques, des adrets alpiens",Festucion acuminatae Braun-Blanquet 1926,,,,,7,2,4,5,5,2,2,0,3,4,,,,,,,,Magnoliopsida,Magnoliidae,Eudicots,Asteranae,,,Asterids,Lamiales,Orobanchaceae,0,0,2715,,,Euphrasia alpina
97772,Orobanchaceae,"Euphrasia minima Jacq. ex DC., 1805","Euphrasia minima Jacq. ex DC., 1805",97772,"Euphrasia minima Jacq. ex DC., 1805",Euphrasia minima Jacq. ex DC.,Euphrasia minima,3072,esp,30120,75128,11/5.0.1,Euphrasia minima Jacq. ex DC.,orophyte européen,racème d'épis,hermaphrodite,,"entomogame, autogame",capsule,anémochore,"blanc, jaune, bleu",,9-Jul,,,test-hpar,hémicryptophytaie,"pelouses acidophiles alpines climaciques, chionophobes",Caricetalia curvulae subsp. curvulae Braun-Blanquet in Braun-Blanquet & Jenny 1926,,,,,7,2,4,5,5,2,3,0,3,7,7,2,,5,2,3,0,Magnoliopsida,Magnoliidae,Eudicots,Asteranae,,,Asterids,Lamiales,Orobanchaceae,0,0,2709,,,Euphrasia minima
97804,Orobanchaceae,"Euphrasia salisburgensis Funck, 1794",Euphrasia salisburgensis,97804,"Euphrasia salisburgensis Funck, 1794",Euphrasia salisburgensis Funck,Euphrasia salisburgensis,3080,esp,5341,26294,09/20.0.1.0.1,Euphrasia salisburgensis Funck,orophyte européen,racème d'épis,hermaphrodite,,"entomogame, autogame",capsule,anémochore,"bleu, blanc",,10-Jul,,,test-hpar,hémicryptophytaie,"pelouses basophiles subalpines, alpiennes, mésohydriques",Seslerion caeruleae Braun-Blanquet in Braun-Blanquet & Jenny 1926,,Seslerio caeruleae - Mesobromopsidenion erectae Oberdorfer 1957,,,7,3,5,5,5,8,4,0,3,2,7,3,2,5,8,4,0,Magnoliopsida,Magnoliidae,Eudicots,Asteranae,,,Asterids,Lamiales,Orobanchaceae,0,0,2708,,,Euphrasia salisburgensis
98039,Poaceae,"Festuca acuminata Gaudin, 1811","Festuca acuminata Gaudin, 1811",98039,"Festuca acuminata Gaudin, 1811",Festuca acuminata Gaudin,Festuca acuminata,3108,esp,6823,26557,09/1.0.2.0.5,Festuca acuminata Gaudin,orophyte alpien,panicule d'épillets,hermaphrodite,,anémogame,caryopse,épizoochore,jaune,bleu,8-Jun,,,hces,hémicryptophytaie,"pelouses acidophiles ouvertes, alpines, mésohydriques, des adrets alpiens",Festucion acuminatae Braun-Blanquet 1926,,,,,9,2,5,4,4,3,2,0,5,5,9,3,5,3,3,2,0,Magnoliopsida,Magnoliidae,Monocots,Lilianae,,,Commelinids,Poales,Poaceae,0,0,347,,,Festuca varia
98054,Poaceae,"Festuca alpina Suter, 1802","Festuca alpina Suter, 1802",98054,"Festuca alpina Suter, 1802",Festuca alpina Suter,Festuca alpina,3111,esp,10047,26575,08/20.0.2.0.6,Festuca alpina Suter,orophyte méridional,panicule d'épillets,hermaphrodite,,anémogame,caryopse,épizoochore,"vert, bleu",,8-Jul,,,hces,hémicryptophytaie,"grpts vivaces des éboulis basophiles, alpiens, subalpins-alpins, héliophiles",Noccaeion rotundifoliae Braun-Blanquet in Braun-Blanquet & Jenny 1926 em. Zollitsch 1966,,,,,8,1,5,4,4,8,2,0,7,1,8,1,2,3,9,1,0,Magnoliopsida,Magnoliidae,Monocots,Lilianae,,,Commelinids,Poales,Poaceae,0,0,13528,,,Euphorbia valliniana
98272,Poaceae,"Festuca halleri All., 1785","Festuca halleri All., 1785",98272,"Festuca halleri All., 1785",Festuca halleri All.,Festuca halleri,3141,esp,10053,27026,11/5.0.1.0.1,Festuca halleri All.,orophyte alpien,panicule d'épillets,hermaphrodite,,anémogame,caryopse,épizoochore,"vert, bleu",,8-Jul,,,hces,hémicryptophytaie,"pelouses acidophiles alpino-alpiennes climaciques, chionophobes",Caricion curvulae subsp. curvulae Braun-Blanquet 1925,,,,,9,1,7,3,4,1,1,0,4,7,9,1,7,4,1,1,0,Magnoliopsida,Magnoliidae,Monocots,Lilianae,,,Commelinids,Poales,Poaceae,0,0,357,,,Festuca halleri
98280,Poaceae,"Festuca heterophylla Lam., 1779","Festuca heterophylla Lam., 1779",98280,"Festuca heterophylla Lam., 1779",Festuca heterophylla Lam.,Festuca heterophylla,3146,esp,6865,27044,10/3.,Festuca heterophylla Lam.,européen méridional,panicule d'épillets,hermaphrodite,,anémogame,caryopse,épizoochore,vert,,7-May,,,Hces,hémicryptophytaie,"sous-bois herbacés médio-européens, planitiaires à montagnards",Anemono nemorosae - Caricetea sylvaticae Gillet 1986 em. Julve 1993,,,,,4,6,4,5,4,5,4,0,4,4,5,6,4,4,5,5,0,Magnoliopsida,Magnoliidae,Monocots,Lilianae,,,Commelinids,Poales,Poaceae,0,0,342,,,Festuca heterophylla
98404,Poaceae,"Festuca nigrescens Lam., 1788","Festuca nigrescens Lam., 1788",98404,"Festuca nigrescens Lam., 1788",Festuca nigrescens Lam.,Festuca nigrescens,3162,esp,10061,27248,09/1.,Festuca nigrescens Lam.,circumboréal,panicule d'épillets,hermaphrodite,,anémogame,caryopse,épizoochore,"vert, bleu, rose",,8-Jul,,,hces,hémicryptophytaie,pelouses acidophiles médio-européennes à boréo-subalpines,Nardetea strictae Rivas Goday & Borja-Carbonell 1961 em. de Foucault 1994,,,,,7,5,4,5,5,3,2,0,4,4,7,,4,x,3,2,0,Magnoliopsida,Magnoliidae,Monocots,Lilianae,,,Commelinids,Poales,Poaceae,0,0,4004,,,Festuca nigrescens
98512,Poaceae,"Festuca rubra L., 1753",Festuca rubra L.,98512,"Festuca rubra L., 1753",Festuca rubra L.,Festuca rubra,3178,esp,10070,27521,12/1.,Festuca rubra L.,circumboréal,panicule d'épillets,hermaphrodite,,anémogame,caryopse,épizoochore,"vert, rose",,7-May,,,grhi,hémicryptophytaie,prairies européennes mésotrophiles à eutrophiles,Agrostio stoloniferae - Arrhenatheretea elatioris subsp. elatioris (Tüxen 1937 em. 1970) de Foucault 1984,,,,,7,5,5,5,5,4,5,0,3,3,,,,,,,,Magnoliopsida,Magnoliidae,Monocots,Lilianae,,,Commelinids,Poales,Poaceae,0,0,341,,,Festuca rubra
98865,Rosaceae,"Fragaria vesca L., 1753","Fragaria vesca L., 1753",98865,"Fragaria vesca L., 1753",Fragaria vesca L.,Fragaria vesca,3227,esp,4745,28137,10/2.0.5.0.1,Fragaria vesca L.,cosmopolite,cyme bipare,hermaphrodite,,entomogame,akène,endozoochore,"blanc, jaune",,6-Apr,,,hsto,hémicryptophytaie,"ourlets internes des clairières basophiles médio-européennes, mésohydriques",Fragarion vescae Tüxen 1950,,,,,5,5,5,5,5,7,5,0,3,3,7,,5,5,x,6,0,Magnoliopsida,Magnoliidae,Eudicots,Rosanae,,,Rosids,Rosales,Rosaceae,0,0,1568,,,Fragaria vesca
99334,Lamiaceae,"Galeopsis tetrahit L., 1753","Galeopsis tetrahit L., 1753",99334,"Galeopsis tetrahit L., 1753",Galeopsis tetrahit L.,Galeopsis tetrahit,3324,esp,3546,28842,13/6.,Galeopsis tetrahit L.,eurasiatique tempéré,glomérules,hermaphrodite,,"entomogame, autogame",akène,barochore,"blanc, rose",,10-Jul,,,test,thérophytaie,"annuelles pionnières nitrophiles des clairières et lisières européennes, psychrophiles",Galeopsio tetrahit - Senecionetea sylvatici Passarge 1981 ex de Foucault 2011,,,,,5,5,5,5,5,5,7,0,3,4,7,,3,5,x,6,0,Magnoliopsida,Magnoliidae,Eudicots,Asteranae,,,Asterids,Lamiales,Lamiaceae,0,0,2501,,,Galeopsis tetrahit
99372,Rubiaceae,"Galium anisophyllon Vill., 1779","Galium anisophyllon Vill., 1779",99372,"Galium anisophyllon Vill., 1779",Galium anisophyllon Vill.,Galium anisophyllon,3331,esp,5036,28895,09/20.,Galium anisophyllon Vill.,orophyte méridional,cyme d'ombelles,hermaphrodite,,entomogame,capsule,barochore,blanc,,8-Jun,,,hsto,hémicryptophytaie,"pelouses basophiles subalpines, pionnières, chionophiles",Seslerietea caeruleae Braun-Blanquet 1948 em. Oberdorfer 1978,,,,,9,2,7,6,5,8,3,0,3,2,9,2,4,5,8,3,0,Magnoliopsida,Magnoliidae,Eudicots,Asteranae,,,Asterids,Gentianales,Rubiaceae,0,0,2797,,,Galium anisophyllon
99854,Gentianaceae,"Gentiana acaulis L., 1753","Gentiana acaulis L., 1753",99854,"Gentiana acaulis L., 1753",Gentiana acaulis L.,Gentiana acaulis,3431,esp,3350,29666,09/1.0.2,Gentiana acaulis L.,orophyte méridional,fleur solitaire terminale,hermaphrodite,,entomogame,capsule,barochore,bleu,,7-Jun,,,heri,hémicryptophytaie,pelouses acidophiles montagnardes à subalpines,Trifolio alpini - Meetalia athamantici de Foucault 1994,,,,,8,2,4,6,5,2,2,0,3,4,8,2,4,5,2,2,0,Magnoliopsida,Magnoliidae,Eudicots,Asteranae,,,Asterids,Gentianales,Gentianaceae,0,0,2373,,,Gentiana acaulis
99866,Gentianaceae,"Gentiana bavarica L., 1753","Gentiana bavarica L., 1753",99866,"Gentiana bavarica L., 1753",Gentiana bavarica L.,Gentiana bavarica,3435,esp,3354,29694,11/6.0.2.0.1,Gentiana bavarica L.,orophyte alpien,fleur solitaire terminale,hermaphrodite,,entomogame,capsule,barochore,bleu,,8-Jul,,,hsto,hémicryptophytaie,"pelouses alpines climaciques chionophiles, basophiles",Arabidion caeruleae Braun-Blanquet in Braun-Blanquet & Jenny 1926,,,,,8,2,4,7,6,8,3,0,5,7,8,2,4,6,8,2,0,Magnoliopsida,Magnoliidae,Eudicots,Asteranae,,,Asterids,Gentianales,Gentianaceae,0,0,2380,,,Gentiana bavarica
