cd_ref,famille,nom_valide,nom_cite,cd_nom,nom_reconnu,nom_reconnu_ss_date,nom_reconnu_ss_auteur,ID,rang_taxinomique,N°_Taxinomique_BDNFF,N°_Nomenclatural_BDNFF,code_CATMINAT,NOM_SCIENTIFIQUE,CHOROLOGIE,inflorescence,sexualité,ordre_maturation,pollinisation,fruit,dissémination,couleur_fleur,macule,floraison,type_ligneux,Champ17,TYPE_BIOLOGIQUE,FORMATION_VEGETALE,CARACT_ECOLOG_HABITAT_OPTI,INDICATION_PHYTOSOCIOLOGIQUE_CARACTERISTIQUE,INDICATION_CARACTERISTIQUE_TRANSGRESSIVE,INDICATION_DIFFERENTIELLE_1,INDICATION_DIFFERENTIELLE_2,INDICATION_DIFFERENTIELLE_3,Lumière,Température,Continentalité,Humidité_atmosphérique,Humidité_édaphique,Réaction_du_sol_(pH),Niveau_trophique,Salinité,Texture,Matière_organique,Lichtzahl,Temperaturzahl,Kontinentalität,Feuchtzahl,Reaktionszahl,Nutrients,Salz,CLASSE_(-opsida),SUBCLASSE_(-idae),Clade_intermédiaire,SUPERORDRE_(-anae),Champ47,Champ48,Champ49,ORDRE_(-ales),FAMILLE_(-aceae),numSpA,numSpB,numSpH,nomA,nomB,nomH
112426,Celastraceae,"Parnassia palustris L., 1753",Parnassia palustris,112426,"Parnassia palustris L., 1753",Parnassia palustris L.,Parnassia palustris,5660,esp,5203,47942,06/1.,Parnassia palustris L.,circumboréal,fleur solitaire terminale,hermaphrodite,,"entomogame, autogame",capsule,barochore,blanc,,9-Aug,,,hros,hémicryptophytaie,hémicrypto-géophytaies des tourbières holarctiques,Scheuchzerio palustris - Caricetea nigrae (Nordhagen 1936) Tüxen 1937 em. Julve 1999,,Montio fontanae - Cardaminetea amarae Braun-Blanquet & Tüxen 1943,,,8,5,5,8,8,6,2,0,1,9,8,,,8~,7,2,0,Magnoliopsida,Magnoliidae,Eudicots,Rosanae,,,Rosids,Celastrales,Celastraceae,0,0,1525,,,Parnassia palustris
997256,Orobanchaceae,"Pedicularis gyroflexa Vill., 1787",Pedicularis gyroflexa,112579,"Pedicularis gyroflexa Vill., 1787",Pedicularis gyroflexa Vill.,Pedicularis gyroflexa,5695,esp,30273,75281,09/20.,Pedicularis gyroflexa Vill.,orophyte alpien occ.,épi simple,hermaphrodite,,entomogame,capsule,barochore,rose,,,,,heri-hpar,hémicryptophytaie,"pelouses basophiles subalpines, pionnières, chionophiles",Seslerietea caeruleae Braun-Blanquet 1948 em. Oberdorfer 1978,,,,,8,2,6,5,5,7,2,0,3,2,,,,,,,,Magnoliopsida,Magnoliidae,Eudicots,Asteranae,,,Asterids,Lamiales,Orobanchaceae,0,0,2680,,,Pedicularis gyroflexa
112584,Orobanchaceae,"Pedicularis kerneri Dalla Torre, 1882","Pedicularis kerneri Dalla Torre, 1882",112584,"Pedicularis kerneri Dalla Torre, 1882",Pedicularis kerneri Dalla Torre,Pedicularis kerneri,5696,esp,5418,48155,11/5.0.1.0.1,Pedicularis kerneri Dalla Torre,orophyte méridional,épi simple,hermaphrodite,,entomogame,capsule,barochore,rose,,8-Jun,,,hros-hpar,hémicryptophytaie,"pelouses acidophiles alpino-alpiennes climaciques, chionophobes",Caricion curvulae subsp. curvulae Braun-Blanquet 1925,,,,,8,2,4,5,5,3,1,0,4,7,,,,,,,,Magnoliopsida,Magnoliidae,Eudicots,Asteranae,,,Asterids,Lamiales,Orobanchaceae,0,0,2684,,,Pedicularis kerneri
112604,Orobanchaceae,"Pedicularis verticillata L., 1753",Pedicularis verticillata L.,112604,"Pedicularis verticillata L., 1753",Pedicularis verticillata L.,Pedicularis verticillata,5709,esp,5428,48193,09/20.,Pedicularis verticillata L.,arctico-alpin,épi simple,hermaphrodite,,entomogame,capsule,barochore,rose,,9-Jun,,,heri-hpar,hémicryptophytaie,"pelouses basophiles subalpines, pionnières, chionophiles",Seslerietea caeruleae Braun-Blanquet 1948 em. Oberdorfer 1978,,,,,8,3,7,6,6,8,2,0,3,2,8,3,7,x,8,2,0,Magnoliopsida,Magnoliidae,Eudicots,Asteranae,,,Asterids,Lamiales,Orobanchaceae,0,0,2674,,,Pedicularis verticillata
113175,Poaceae,"Phleum alpinum L., 1753","Phleum alpinum L., 1753",113175,"Phleum alpinum L., 1753",Phleum alpinum L.,Phleum alpinum,5792,esp,7052,48892,11/6.,Phleum alpinum L.,arctico-alpin,épi d'épillets,hermaphrodite,,anémogame,caryopse,épizoochore,bleu,,,,,hsto,hémicryptophytaie,"pelouses arctico-alpines climaciques, chionophiles, mésohygrophiles",Salicetea herbaceae Braun-Blanquet 1948,,,,,8,3,7,6,6,6,6,0,3,4,,,,,,,,Magnoliopsida,Magnoliidae,Monocots,Lilianae,,,Commelinids,Poales,Poaceae,0,0,225,,,Phleum alpinum
113224,Poaceae,"Phleum rhaeticum (Humphries) Rauschert, 1979",Phleum rhaeticum,113224,"Phleum rhaeticum (Humphries) Rauschert, 1979",Phleum rhaeticum (Humphries) Rauschert,Phleum rhaeticum,5800,esp,7053,49010,11/6.0.1,Phleum rhaeticum (Humphries) Rauschert,orophyte méridional,épi d'épillets,hermaphrodite,,anémogame,caryopse,épizoochore,bleu,,8-Jun,,,hsto,hémicryptophytaie,"pelouses alpines climaciques chionophiles, acidophiles",Salicetalia herbaceae Braun-Blanquet in Braun-Blanquet & Jenny 1926,,,,,8,2,3,7,6,6,5,0,6,7,8,3,3,5,6,7,0,Magnoliopsida,Magnoliidae,Monocots,Lilianae,,,Commelinids,Poales,Poaceae,0,0,224,,,Phleum alp. rhaeticum
113362,Campanulaceae,"Phyteuma betonicifolium Vill., 1787","Phyteuma betonicifolium Vill., 1785",113361,"Phyteuma betonicifolium Vill., 1787",Phyteuma betonicifolium Vill.,Phyteuma betonicifolium,5828,esp,1921,49195,09/1.0.2.0.5,Phyteuma betonicifolium Vill.,orophyte alpien,capitule simple,hermaphrodite,,entomogame,capsule,barochore,bleu,,8-Jul,,,heri,hémicryptophytaie,"pelouses acidophiles ouvertes, alpines, mésohydriques, des adrets alpiens",Festucion acuminatae Braun-Blanquet 1926,,,,,8,2,4,6,5,2,1,0,4,5,8,3,4,5,2,1,0,Magnoliopsida,Magnoliidae,Eudicots,Asteranae,,,Asterids,Asterales,Campanulaceae,0,0,2903,,,Phyteuma betonicifolium
113381,Campanulaceae,"Phyteuma hemisphaericum L., 1753","Phyteuma hemisphaericum L., 1753",113381,"Phyteuma hemisphaericum L., 1753",Phyteuma hemisphaericum L.,Phyteuma hemisphaericum,5834,esp,1927,49221,08/2.1.1,Phyteuma hemisphaericum L.,orophyte européen,capitule simple,hermaphrodite,,entomogame,capsule,barochore,bleu,,8-Jul,,,hsto,hémicryptophytaie,"lithophytes des replats de falaises européennes, acidophiles, subalpines à alpines",Androsacetalia vandellii Braun-Blanquet in Meier & Braun-Blanquet 1934,,,,,8,2,5,6,4,3,2,0,8,1,8,2,4,5,3,1,0,Magnoliopsida,Magnoliidae,Eudicots,Asteranae,,,Asterids,Asterales,Campanulaceae,0,0,10691,,,Saxifraga hieraciifolia *
113432,Pinaceae,"Picea abies (L.) H.Karst., 1881","Picea abies (L.) H.Karst., 1881",113432,"Picea abies (L.) H.Karst., 1881",Picea abies (L.) H.Karst.,Picea abies,5849,esp,30280,75288,17/1.,Picea abies (L.) H.Karst.,eurasiatique,cône,monoïque,,anémogame,cône,anémochore,,,,grand arbre,68,A-semp,magnophanérophytaie,"associations arborescentes climaciques des forêts sempervirentes aciculifoliées boréo-subalpines de l'Europe occidentale, sur sols mésotrophes",σA Pino cembrae - Piceetea abietis Julve 1993,,,,,7,3,5,6,5,4,5,0,3,5,-5,3,6,x,x,x,0,Pinopsida,Pinidae,,,,,,Pinales,Pinaceae,92,7006,7007,Picea abies A,Picea abies B,Picea abies H
113527,Asteraceae,"Pilosella peleteriana (Mérat) F.W.Schultz & Sch.Bip., 1862",Pilosella peleteriana,113527,"Pilosella peleteriana (Mérat) F.W.Schultz & Sch.Bip., 1862",Pilosella peleteriana (Mérat) F.W.Schultz & Sch.Bip.,Pilosella peleteriana,5875,esp,935,49433,08/15.2.2,Pilosella peleteriana (Mérat) F.W.Schultz & Sch.Bip.,européen,,hermaphrodite,,apogame,akène,anémochore,jaune,,,,,hros,hémicryptophytaie,"pelouses arénicoles basophiles, médio-européennes occidentales, mésoxérophiles",Koelerio macranthae - Phleetalia phleoidis Korneck 1974,,,,,7,5,5,3,3,4,3,0,4,4,7,8,2,3,4,2,0,Magnoliopsida,Magnoliidae,Eudicots,Asteranae,,,Asterids,Asterales,Asteraceae,0,0,219,,,Phleum phleoides
