Numéro,_CBNA_presence_base,_CBNA_presence_ZA,_LECA_selection,_Code_taxon_CBNA,_Famille_CBNA,_Genre_CBNA,_libelle_taxon_CBNA,_type_biologiques_CBNA_VALS,_Hauteur_moyenne_CBNA_VALS,mode_dispersion_CBNA_VALS,Mode_dispersion_detail_CBNA,attribut_de_dissemin_CBNA,attribut_de_dissemin_modif_JVE,attribut_de_dissemin_commentaire_CBNA,Vittoz_SD_DispersalType,Vittoz_SD_Height,Vittoz_SD_SeedMass,Vittoz_SD_SLAall,L_Lumière_ellenberg_JVE,L_Lumièrel_ellenberg_Luc,L_Lumière_ellenberg_CBNA,L_Amplitude_Lumière_ellenberg_CBNA,L_Lumière_ellenberg,L_Ellenberg_British,LO_Ellenberg_British,F_Humidité du sol_ellenberg_CBNA,F_Humidité du sol_Landolt_CBNA,F_Ellenberg_British,FO_Ellenberg_British,F_Humidité du sol_ellenberg,N_Nutriments du sol_ellenberg_JVE,N_Nutriments du sol_Landolt_CBNA,N_Ellenberg_British,NO_Ellenberg_British,N_Nutriments du sol_ellenberg,R_Ellenberg_British,RO_Ellenberg_British,S_Ellenberg_British,SO_Ellenberg_British,chorologie_classe_JULVE,phenologie_ordre_de_floraison_JULVE,grand_type_de_formation_JULVE,CD_ref,Code_taxon_num,CBNA,ListeLECA,champs1_Subsp?_,macroclimat_CBNA,microclimat_Temperature_stationnelle_CBNA,libelle_taxon,graine_taille_CBNA,phenologie_fructification_:periode_CBNA,plante_carnivore_CBNA,lian_vrilles_crochet_crampons_CBNA,feuill_succulente_CBNA,tige_succulente_CBNA,feuill_epineuse_CBNA,rameau_ou_tige_epineux_CBNA,rameau_chlorophyllien_CBNA,port_dressé_CBNA,port_rampant_CBNA,port_procombant_CBNA,port_étalé_CBNA,Cycle_mono_ou_polycarpique_CBNA,cycle_maturite_longevite_CBNA,Cycle_classe_d_age_CBNA,classe_d_age_CBNA,diffusion_CBNA,types_morphologiques_de_Barkman_1988,Endemisme_CBNA_VALS,Biologie_type_de_nutrition_CBNA_VALS,Feuillage_caducite_persistance_CBNA,Chorologie_classe_modif_LG,naturalite_habitat_primaire_secondaire_CBNA_en attente,naturalite_habitat_primaire_secondaire_modifs_JVE_en attente,fleur_inflorescence_type_julve_revue_CBNA,fleur_couleur_CBNA,fleur_petale_ornementation_CBNA,fleur_sexualite_CBNA,fruit_type_CBNA_VALS,fruit_couleur_CBNA,gradiant_herbacee_ligneux_CBNA_VALS,Hauteur_fourchette_moyenne_CBNA_VALS,Hauteur_fourchette_exteme_CBNA,phenologie_floraison_ordre_CBNA,phenologie_floraisofeuillaison_ordre_CBNA,phenologie_floraison_periode_CBNA,phenologie_fecondationpollinisation_type_CBNA,indigénat_ZA_CBNA_VALS
9388,x,x,,40319,Equisetaceae,Equisetum,Equisetum x litorale Kühl. ex Rupr.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2759,x,x,,40012,Equisetaceae,Equisetum,Equisetum x moorei Newm.,CH,,,,,,,,,,,,,,,7,,,,4,,,7~,,,,,4,,,,,européen occidental,,hémicryptophytaie,96566,40012,nr,,,,,Equisetum x moorei Newman [hyemale x ramosissimum],,,,,,,,,x,x,,,,,,,4-5,,,,chlorophyllien,sempervirent,Européen,P,,épi de sporanges,,,,spores,,,,,,,4-9,,Indigène
2760,x,x,,17657,Equisetaceae,Equisetum,Equisetum x-trachyodon A. Braun,GE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,96572,17657,nr,,,,,Equisetum x-trachyodon A. Braun,,,,,,,,,,x,,,,polycarpique,,,,,,,chlorophyllien,sempervirent,,P,,épi de sporanges,,,,spores,,,,,,,,,Indigène
2761,x,x,,15948,Poaceae,Eragrostis,Eragrostis barrelieri Daveau,TH,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,méditerranéen,,thérophytaie,96580,15948,nr,,,,,Eragrostis barrelieri Daveau,,,,,,,,,,x,,,,monocarpique,,,1,,,,chlorophyllien,hémisempervirent,Méditerranéen,S,,panicule d'épillets,vert,,hermaphrodite,caryopse,,,,,ECH,,6-10,anémogame,Exogène
2762,x,x,x,15949,Poaceae,Eragrostis,Eragrostis cilianensis (All.) Janchen,TH,6,barochore,Blastochorie-Agochorie,sans attribut visible,,,,,,,8,$,8,,7,,,,2,,,3,,,,,3,,,,,cosmopolite(thermo),,thérophytaie,96585,15949,x,x,,,,Eragrostis cilianensis (All.) Vignolo ex Janch.,,,,,,,,,,x,,,,monocarpique,1,,1,,,,chlorophyllien,hémisempervirent,Cosmopolite,S,,panicule d'épillets,vert,,hermaphrodite,caryopse,,herbacé,2-10,,ECH,,6-10,anémogame,Exogène
2763,,,,15950,,Eragrostis,Eragrostis curvula (Schrader) Nees,TH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15950,NA,,,,,Eragrostis curvula (Schrader) Nees,,,,,,,,,,x,,,,monocarpique,,,1,,,,chlorophyllien,hémisempervirent,,S,,panicule d'épillets,"vert, violet",,,caryopse,,,,,ECH,,,anémogame,Exogène
2764,,,,15952,,Eragrostis,Eragrostis diffusa Buckl.,TH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15952,NA,,,,,Eragrostis diffusa Buckl.,,,,,,,,,,x,,,,monocarpique,,,1,,,,chlorophyllien,hémisempervirent,,S,,panicule d'épillets,"vert, violet",,,caryopse,,,,,ECH,,,anémogame,Exogène
2765,,,,15953,,Eragrostis,Eragrostis frankii C.A. Meyer ex Steudel,TH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15953,NA,,,,,Eragrostis frankii C.A. Meyer ex Steudel,,,,,,,,,,x,,,,monocarpique,,,1,,,,chlorophyllien,hémisempervirent,,S,,panicule d'épillets,"vert, violet",,,caryopse,,,,,ECH,,,anémogame,Exogène
2766,x,x,,15956,Poaceae,Eragrostis,Eragrostis mexicana (Hornem.) Link,TH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,96612,15956,nr,,,,,Eragrostis mexicana (Hornem.) Link,,,,,,,,,,x,,,,monocarpique,,,1,,,,chlorophyllien,hémisempervirent,,S,,panicule d'épillets,"vert, violet",,,caryopse,,,,,ECH,,,anémogame,Exogène
2767,,,,15957,,Eragrostis,Eragrostis mexicana (Hornem.) Link subsp. mexicana,TH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15957,NA,,,,,Eragrostis mexicana (Hornem.) Link subsp. mexicana,,,,,,,,,,x,,,,monocarpique,,,1,,,,chlorophyllien,hémisempervirent,,S,,panicule d'épillets,"vert, violet",,,caryopse,,,,,ECH,,,anémogame,Exogène
2768,,,,15958,,Eragrostis,Eragrostis mexicana (Hornem.) Link subsp. virescens (C. Presl) Koch & S nchez Vega,TH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15958,NA,,,,,Eragrostis mexicana (Hornem.) Link subsp. virescens (C. Presl) Koch & S nchez Vega,,,,,,,,,,x,,,,monocarpique,,,1,,,,chlorophyllien,hémisempervirent,,S,,panicule d'épillets,"vert, violet",,,caryopse,,,,,ECH,,,anémogame,Exogène
2769,x,x,x,15959,Poaceae,Eragrostis,Eragrostis minor Host,TH,10,barochore,Blastochorie-Agochorie,sans attribut visible,,,,,,,8,$,8,,8,,,,1,,,3,,,,,4,,,,,circumboréal,,thérophytaie,96613,15959,x,x,,,,Eragrostis minor Host,,,,,,,,,,x,,,,monocarpique,1,,1,,,,chlorophyllien,hémisempervirent,Boréal,S,,panicule d'épillets,vert,,hermaphrodite,caryopse,,herbacé,2-20,,ECH,,6-10,anémogame,Exogène ?
2770,x,x,,15963,Poaceae,Eragrostis,Eragrostis pectinacea (Michaux) Nees,TH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,introduit,,thérophytaie,96624,15963,nr,,,,,Eragrostis pectinacea (Michx.) Nees,,,,,,,,,,x,,,,monocarpique,,,1,,,,chlorophyllien,hémisempervirent,,S,,panicule d'épillets,vert,,hermaphrodite,caryopse,,,,,ECH,,,anémogame,Exogène
2771,x,x,x,15964,Poaceae,Eragrostis,Eragrostis pilosa (L.)P. Beauv.,TH,20,barochore,Blastochorie-Agochorie,sans attribut visible,,,,,,,9,$,8,,8,,,,1,,,3,,,,,?,,,,,cosmopolite(thermo),,thérophytaie,96628,15964,x,x,,,,Eragrostis pilosa (L.) P.Beauv.,,,,,,,,,,x,,,,monocarpique,1,,1,,,,chlorophyllien,hémisempervirent,Cosmopolite,S,,panicule d'épillets,vert,,hermaphrodite,caryopse,,herbacé,5-40,,ECH,,7-10,anémogame,Exogène
2772,,,,15965,,Eragrostis,Eragrostis pilosa (L.)P. Beauv. subsp. abyssinica (Jacq.) Ascherson & Graebner,TH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15965,NA,,,,,Eragrostis pilosa (L.)P. Beauv. subsp. abyssinica (Jacq.) Ascherson & Graebner,,,,,,,,,,x,,,,monocarpique,,,1,,,,chlorophyllien,hémisempervirent,,S,,panicule d'épillets,"vert, violet",,,caryopse,,,,,ECH,,,anémogame,Exogène
2773,x,x,,15966,Poaceae,Eragrostis,Eragrostis pilosa (L.)P. Beauv. subsp. damiensiana (Bonnet) Thell.,TH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,134181,15966,nr,,T,,,Eragrostis pilosa (L.)P. Beauv. subsp. damiensiana (Bonnet) Thell.,,,,,,,,,,x,,,,monocarpique,,,1,,,,chlorophyllien,hémisempervirent,,S,,panicule d'épillets,"vert, violet",,,caryopse,,,,,ECH,,,anémogame,Exogène
2774,x,x,,15967,Poaceae,Eragrostis,Eragrostis pilosa (L.)P. Beauv. subsp. pilosa,TH,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,134185,15967,nr,,T,,,Eragrostis pilosa (L.)P. Beauv. subsp. pilosa,,,,,,,,,,x,,,,monocarpique,,,1,,,,chlorophyllien,hémisempervirent,,S,,panicule d'épillets,"vert, violet",,,caryopse,,,,,ECH,,,anémogame,Exogène
2775,x,x,,10550,Ranunculaceae,Eranthis,Eranthis hyemalis (L.) Salisb.,GE,,,,,,,,,,,,,,,,3,,,3,5,,,,,6,,,7,,0,0,européen méridional,homogame,hémicryptophytaie,96648,10550,nr,,,,,Eranthis hyemalis (L.) Salisb.,,,,,,,,,,x,,,,polycarpique,,,,,,,chlorophyllien,hémisempervirent,Européen,S,,fleur solitaire terminale,jaune,,hermaphrodite,follicule,,,,,,,2-3,"entomogame, autogame",Exogène
2776,,,,15974,,Erianthus,Erianthus ravennae (L.) P. Beauv.,HE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,subtropical(paléo),,hémicryptophytaie,,15974,nr,,,,,Erianthus ravennae (L.) P.Beauv.,,,,,,,,,,?,,,,,,,3 ou 4,,,,chlorophyllien,?,Cosmopolite,S,,panicule d'épillets,blanc,,hermaphrodite,caryopse,,,,,ECH,,8-10,anémogame,?
2777,x,x,x,06432,Ericaceae,Erica,Erica arborea L.,PH,250,barochore,Cystometeorochorie,sans attribut visible,,,,,,,6,7-,7,II,,,,,1,,,,,,,,,,,,,cosmopolite(thermo),,petite phanérophytaie,96659,6432,x,x,,,,Erica arborea L.,,,,,,,,,,x,,,,polycarpique,,,,,,,chlorophyllien,sempervirent,Cosmopolite,P,,racème simple,blanc,,hermaphrodite,capsule,,frutescent,150-350,,,,3-5,entomogame,Indigène
9184,x,x,,06433,Ericaceae,Erica,"Erica carnea L., nom. cons.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2778,x,x,x,06434,Ericaceae,Erica,"Erica carnea L., nom. cons. subsp. carnea",CH,25,barochore,Cystometeorochorie,sans attribut visible,,,,,,,7,6ok,7,II,7,,,,2,,,3,,,,,2,,,,,européen méridional,,chaméphytaie,134194,6434,x,x,,,,Erica carnea L. subsp. carnea,,,,,,,,,,x,,,x,polycarpique,,,4-5,,,,chlorophyllien,sempervirent,Européen,P,,racème simple,rose,,hermaphrodite,capsule,,frutescent,15-35,,,,4-6,entomogame,Indigène
2779,,,,06436,,Erica,"Erica carnea L., nom. cons. subsp. occidentalis (Bentham) La¡nz",CH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,atlantique,,chaméphytaie,,6436,NA,,,,,Erica carnea L. subsp. occidentalis (Benth.) Laínz,,,,,,,,,,x,,,x,,,,4-5,,,,chlorophyllien,sempervirent,Atlantique,P,,racème simple,rose,,hermaphrodite,capsule,,,,,,,1-3,entomogame,Indigène
2780,,,,06438,,Erica,Erica ciliaris L.,CH,,,,,,,,,,,,,,,,8,,,,7,,,,,1,,,1,,0,0,atlantique,,chaméphytaie,,6438,NA,,,,,Erica ciliaris Loefl. ex L.,,,,,,,,,,x,,,,,,,4-5,,,,chlorophyllien,sempervirent,Atlantique,P,,racème simple,rose,,hermaphrodite,capsule,,,,,,,6-10,entomogame,Indigène
2781,x,x,x,06439,Ericaceae,Erica,Erica cinerea L.,CH,35,barochore,Cystometeorochorie,sans attribut visible,,,,,,,7,6ok,6!,,7,7,7,,1,5,5,5,,,2,1,1,2,2,0,0,atlantique(eury),protogyne,chaméphytaie,96667,6439,x,x,,,,Erica cinerea L.,,,,,,,,,,x,,,,polycarpique,,,4-5,,,,chlorophyllien,sempervirent,Atlantique,P,,racème simple,rose,,hermaphrodite,capsule,,frutescent,20-50,,,,6-10,"entomogame, autogame",Indigène
2782,,,,06444,,Erica,Erica lusitanica Rudolphi,PH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,atlantique,,petite phanérophytaie,,6444,nr,,,,,Erica lusitanica Rudolphi,,,,,,,,,,x,,,,,,,,,,,chlorophyllien,sempervirent,Atlantique,P,,racème simple,blanc,,hermaphrodite,capsule,,,,,,,1-3,entomogame,Indigène
2783,x,,,06447,,Erica,Erica multiflora L.,CH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,méditerranéen occidental,,chaméphytaie,,6447,nr,,,,,Erica multiflora L.,,,,,,,,,,x,,,,,,,4-5,,,,chlorophyllien,sempervirent,Méditerranéen,P,,racème simple,rose,,hermaphrodite,capsule,,,,,,,8-12,entomogame,Indigène
2784,x,x,x,06448,Ericaceae,Erica,Erica scoparia L.,CH et PH,120,barochore,Cystometeorochorie,sans attribut visible,,,NA,120,0.02,NA,5,4non-,5,II,,,,,2,,,,,,,,,,,,,méditerranéen(eury),,chaméphytaie,96691,6448,x,x,,,,Erica scoparia L. subsp. scoparia,,,,,,,,,,x,,,,polycarpique,,,5 ou 6,,,,chlorophyllien,sempervirent,Méditerranéen,P,,racème simple,vert,,hermaphrodite,capsule,,frutescent,50-150,,,,5-7,entomogame,Indigène
2785,,,,06450,,Erica,Erica terminalis Salisb.,CH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,orophyte supraméditerranéen,,hémicryptophytaie,,6450,NA,,,,,Erica terminalis Salisb.,,,,,,,,,,x,,,x,,,,4-5,,,,chlorophyllien,sempervirent,OROPHYTES,P,,racème simple,rose,,hermaphrodite,capsule,,,,,,,6-10,entomogame,Indigène
2786,,,,06451,,Erica,Erica tetralix L.,CH,,,,,,,,,,,,,,,8,8,8,,,8,8,8,,,1,2,2,2,1,0,0,atlantique(eury),protandre,chaméphytaie,,6451,NA,,,,,Erica tetralix L.,,,,,,,,,,x,,,x,,,,4-5,,,,chlorophyllien,sempervirent,Atlantique,P,,racème capituliforme,rose,,hermaphrodite,capsule,,,,,,,6-10,"entomogame, autogame",Indigène
2787,x,x,x,06452,Ericaceae,Erica,Erica vagans L.,CH (et PH),70,barochore,Cystometeorochorie,sans attribut visible,,,,,,,?,7non-,6?!,,,8,,,3,6,,,,,1,,,4,,0,0,atlantique(eury),,chaméphytaie,96698,6452,x,x,,,,Erica vagans L.,,,,,,,,,,x,,,x,polycarpique,,,4-5,,,,chlorophyllien,sempervirent,Atlantique,P,,racème simple,rose,,hermaphrodite,capsule,,frutescent,30-100,,,,6-10,entomogame,Indigène
2789,x,x,x,01695,Asteraceae,Erigeron,Erigeron acer L.,HE,30,anémochore,,akène à aigrette courte,akène à aigrette longue,jve verif pig,,,,,7,$,8,,,8,9,,2,5,4,,,,3,2,,7,8,0,0,holarctique,,,96734,1695,x,x,,,,Erigeron acer L.,,,,,,,,,,x,,,,?,,,3 ou 4,,,,chlorophyllien,hémisempervirent,,PS,,racème de capitules,"rose, jaune",,,akène,,herbacé,20-50,,,,,"entomogame, autogame",Indigène
2790,x,x,,01696,Asteraceae,Erigeron,Erigeron acer L. subsp. acer,HE,35,anémochore,,akène à aigrette courte,,,,,,,,,,,9,8,9,,2,5,4,4,,,3,2,2,7,8,0,0,holarctique,protandre,hémicryptophytaie,134199,1696,x,,,,,Erigeron acer L. subsp. acer,,,,,,,,,,x,,,,?,,,3 ou 4,,,,chlorophyllien,hémisempervirent,,PS,,racème de capitules,"bleu, jaune, rose",,hermaphrodite,akène,,herbacé,25-50,,,,6-9,"entomogame, autogame",Indigène
2791,x,x,,01697,Asteraceae,Erigeron,Erigeron acer L. subsp. angulosus (Gaudin) Vacc.,TH,,anémochore,,,,,,,,,,,,,9,8,9,,2,5,4,4=,,,3,2,?,7,8,0,0,orophyte alpien,protandre,hémicryptophytaie,134200,1697,nr,,T,,,Erigeron acer L. subsp. angulosus (Gaudin) Vacc.,,,,,,,,,,x,,,,monocarpique,,,1,,,,chlorophyllien,hémisempervirent,OROPHYTES,PS,,racème de capitules,"bleu, jaune, rose",,hermaphrodite,akène,,,,,,,6-9,"entomogame, autogame",Indigène
2792,,,,01698,,Erigeron,Erigeron acer L. subsp. droebachensis (O.F. Müller) Arcangeli,HE,,anémochore,,,,,,,,,,,,,,8,9,,,5,4,,,,3,2,,7,8,0,0,,,,,1698,NA,,,,,Erigeron acer L. subsp. droebachensis (O.F. Müller) Arcangeli,,,,,,,,,,x,,,,polycarpique,,,3 ou 4,,,,chlorophyllien,hémisempervirent,,PS,,racème de capitules,"rose, jaune",,,akène,,,,,,,,"entomogame, autogame",Indigène
2793,x,x,x,01699,Asteraceae,Erigeron,Erigeron alpinus L.,HE,22,anémochore,,akène à aigrette courte,,jve verif pig,,,,,8,$,8,,8,,,,2,,,5,,,,,3,,,,,européen méridional,,hémicryptophytaie,96736,1699,x,x,,,,Erigeron alpinus L.,,,,,,,,,,x,,,,polycarpique,,,3 ou 4,,,,chlorophyllien,hémisempervirent,Européen,P,,racème de capitules,"jaune, rose",,hermaphrodite,akène,,herbacé,15-30,,,,7-8,"entomogame, autogame",Indigène
2794,,,,01700,,Erigeron,Erigeron alpinus L. subsp. alpinus,HE,22,anémochore,,akène à aigrette courte,,,,,,,,,,,,,,,,,,,,,,,,,,,,européen méridional,,,,1700,x,,,,,Erigeron alpinus L. subsp. alpinus,,,,,,,,,,x,,,,polycarpique,,,3 ou 4,,,,chlorophyllien,hémisempervirent,,P,,racème de capitules,"mauve, jaune",,,akène,,herbacé,15-30,,,,,"entomogame, autogame",Indigène
2795,x,x,,01702,Asteraceae,Erigeron,Erigeron alpinus L. subsp. intermedius (Schleicher) Pawl.,HE,,anémochore,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,134207,1702,nr,,T,,,Erigeron alpinus L. subsp. intermedius (Schleicher) Pawl.,,,,,,,,,,x,,,,,,,3 ou 4,,,,chlorophyllien,hémisempervirent,,P,,racème de capitules,"mauve, jaune",,,akène,,,,,,,,"entomogame, autogame",Indigène
2799,x,x,x,01706,Asteraceae,Erigeron,Erigeron annuus (L.) Pers.,TH,60,anémochore,Trichometeorochorie-Agochorie,akène à aigrette courte,akène à aigrette longue,,NA,60,0.05,27.73,8,$,8,,,,,,,,,,,,,,,,,,,introduit (Amér. du nord),,,96740,1706,x,x,,,,Erigeron annuus (L.) Pers.,,,,,,,,,,x,,,,monocarpique,1,,1,,,,chlorophyllien,hémisempervirent,,S,,racème de capitules,,,,akène,,herbacé,30-90,,,,,"entomogame, autogame",Exogène
2796,x,x,,01707,Asteraceae,Erigeron,Erigeron annuus (L.) Pers. subsp. annuus,TH (et HE),60,anémochore,,akène à aigrette courte,,,,,,,,,,,7,,,,2,,,6,,,,,8,,,,,introduit (Amér. du nord),,hémicryptophytaie,134212,1707,x,,,,,Erigeron annuus (L.) Desf. subsp. annuus,,,,,,,,,,x,,,,monocarpique,,,,,,,chlorophyllien,hémisempervirent,Américain,S,,racème de capitules,"blanc, jaune",,hermaphrodite,akène,,herbacé,30-90,,,,7-8,"entomogame, autogame",Exogène
2797,x,x,,01708,Asteraceae,Erigeron,Erigeron annuus (L.) Pers. subsp. septentrionalis (Fernald & Wieg.) Wagenitz,HE,,anémochore,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,introduit (Amér. du nord),,hémicryptophytaie,134213,1708,nr,,,,,Erigeron annuus (L.) Desf. subsp. septentrionalis (Fernald & Wiegand) Wagenitz,,,,,,,,,,x,,,,,,,3 ou 4,,,,chlorophyllien,hémisempervirent,Américain,S,,racème de capitules,"blanc, jaune",,hermaphrodite,akène,,,,,,,7-8,"entomogame, autogame",Exogène
2798,x,x,,01709,Asteraceae,Erigeron,Erigeron annuus (L.) Pers. subsp. strigosus (Mühl. ex Willd.) Wagenitz,HE,,anémochore,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,introduit (Amér. du nord),,hémicryptophytaie,134214,1709,nr,,,,,Erigeron annuus (L.) Desf. subsp. strigosus (Muhl. ex Willd.) Wagenitz,,,,,,,,,,x,,,,,,,3 ou 4,,,,chlorophyllien,hémisempervirent,Américain,S,,racème de capitules,"blanc, jaune",,hermaphrodite,akène,,,,,,,7-8,"entomogame, autogame",Exogène
2800,,,,01710,,Erigeron,Erigeron aragonensis Vierh.,HE,,anémochore,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,orophyte pyrénéen,,hémicryptophytaie,,1710,NA,,,,,Erigeron aragonensis Vierh.,,,,,,,,,,x,,,,polycarpique,,,3 ou 4,,,orophyte pyrénéen,chlorophyllien,hémisempervirent,OROPHYTES,P,,racème de capitules,"blanc, jaune",,hermaphrodite,akène,,,,,,,,"entomogame, autogame",Indigène
2801,x,x,x,01711,Asteraceae,Erigeron,Erigeron atticus Vill.,HE,30,anémochore,Trichometeorochorie,akène à aigrette courte,,,,,,,8,$,8,,9,,,,2,,,5,,,,,4,,,,,orophyte méridional,,hémicryptophytaie,96742,1711,x,x,,,,Erigeron atticus Vill.,,,,,,,,,,x,,,,polycarpique,,,3 ou 4,,,,chlorophyllien,hémisempervirent,OROPHYTES,P,,racème de capitules,"jaune, rose",,hermaphrodite,akène,,herbacé,20-40,,,,7-8,"entomogame, autogame",Indigène
2802,x,x,x,01719,Asteraceae,Erigeron,Erigeron gaudinii Brügger,HE,20,anémochore,Trichometeorochorie,akène à aigrette courte,,,,,,,7,$,7,,7,,,,2,,,4,,,,,?,,,,,orophyte méridional,,hémicryptophytaie,96760,1719,x,x,,,,Erigeron gaudinii Brügger,,,,,,,,,,x,,,,polycarpique,,,3 ou 4,,,,chlorophyllien,hémisempervirent,OROPHYTES,P,,racème de capitules,,,hermaphrodite,akène,,herbacé,15-25,,,,,"entomogame, autogame",Indigène
2803,x,x,x,01720,Asteraceae,Erigeron,Erigeron glabratus Bluff & Fingerh.,HE,25,anémochore,,akène à aigrette courte,,,,,,,8,$,8,,9,,,,2,,,5,,,,,3,,,,,,,hémicryptophytaie,96761,1720,x,x,,,,Erigeron glabratus Hoppe & Hornsch. ex Bluff & Fingerh.,,,,,,,,,,x,,,,polycarpique,,,3 ou 4,,,,chlorophyllien,hémisempervirent,OROPHYTES,P,,racème de capitules,"blanc, jaune",rose,hermaphrodite,akène,,herbacé,20-35,,,,7-8,"entomogame, autogame",Indigène
2804,,,,01721,,Erigeron,Erigeron glaucus Pursh,,,anémochore,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1721,NA,,,,,Erigeron glaucus Pursh,,,,,,,,,,x,,,,,,,,,,,chlorophyllien,hémisempervirent,,P,,racème de capitules,"rose, jaune",,,akène,,,,,,,,"entomogame, autogame",Indigène
2805,x,x,,01723,Asteraceae,Erigeron,Erigeron karwinskianus DC.,CH,,anémochore,,,,,,,,,,,,,,8,,,2,3,,,,,2,,,7,,0,0,introduit (Amér. tropicale),,hémicryptophytaie,96775,1723,nr,,,,,Erigeron karvinskianus DC.,,,,,,,,,,x,,,,,,,4-5,,,,chlorophyllien,hémisempervirent,Américain,S,,racème de capitules,"blanc, rose, jaune",,hermaphrodite,akène,,,,,,,,"entomogame, autogame",Exogène
2806,x,x,x,01726,Asteraceae,Erigeron,Erigeron neglectus A. Kerner,HE,25,anémochore,,akène à aigrette courte,,,,,,,8 ou 9,8ok,8,,9,,,,2,,,5,,,,,?,,,,,orophyte alpien,,hémicryptophytaie,96790,1726,x,x,,,,Erigeron neglectus A.Kern.,,,,,,,,,,x,,,,polycarpique,,,3 ou 4,,,orophyte alpien,chlorophyllien,hémisempervirent,Orophyte endémique,P,,racème de capitules,,,hermaphrodite,akène,,herbacé,20-30,,,,,"entomogame, autogame",Indigène
2807,,,,01727,,Erigeron,Erigeron paolii Gamisans,,,anémochore,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,orophyte corse,,hémicryptophytaie,,1727,NA,,,,,Erigeron paolii Gamisans,,,,,,,,,,x,,,,,,,,,,,chlorophyllien,hémisempervirent,OROPHYTES,P,,racème de capitules,,,hermaphrodite,akène,,,,,,,,"entomogame, autogame",Indigène
2808,,,,01728,,Erigeron,Erigeron philadelphicus L.,,,anémochore,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1728,NA,,,,,Erigeron philadelphicus L.,,,,,,,,,,x,,,,,,,,,,,chlorophyllien,hémisempervirent,,S,,racème de capitules,,,,akène,,,,,,,,"entomogame, autogame",?
2809,x,x,x,01735,Asteraceae,Erigeron,Erigeron uniflorus L.,HE,7,anémochore,,akène à aigrette courte,,,,,,,9,$,9,,9,,,,2,,,5,,,,,2,,,,,arctico-alpin,,hémicryptophytaie,96816,1735,x,x,,,,Erigeron uniflorus L.,,,,,,,,,,x,,,,polycarpique,,,3 ou 4,,,,chlorophyllien,hémisempervirent,Boréal,P,,racème de capitules,"blanc, rose",jaune,hermaphrodite,akène,,herbacé,3-10,,,,7-8,"entomogame, autogame",Indigène
2810,,,,06916,,Erinacea,Erinacea anthyllis Link,CH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,orophyte supraméditerranéen,,chaméphytaie,,6916,NA,,,,,Erinacea anthyllis Link,,,,,,,,,,x,,,,,,,4-5,,,,chlorophyllien,hémisempervirent,OROPHYTES,P,,racème simple,bleu,,hermaphrodite,gousse,,,,,,,5-6,entomogame,Indigène
2811,x,x,x,12379,Veronicaceae,Erinus,Erinus alpinus L.,HE,15,barochore,Boleochorie,sans attribut visible,,,NA,15,NA,NA,7 ou 8,$,7,,,8,,,2,3,,,,,2,,,8,,0,0,orophyte méridional,,hémicryptophytaie,96834,12379,x,x,,,,Erinus alpinus L.,,,,,,,,,,x,,,,polycarpique,,,3 ou 4,,,,chlorophyllien,hémisempervirent,OROPHYTES,P,,racème simple,rose,,hermaphrodite,capsule,,herbacé,7-20,,,,5-10,"entomogame, autogame",Indigène
