Numéro,_CBNA_presence_base,_CBNA_presence_ZA,_LECA_selection,_Code_taxon_CBNA,_Famille_CBNA,_Genre_CBNA,_libelle_taxon_CBNA,_type_biologiques_CBNA_VALS,_Hauteur_moyenne_CBNA_VALS,mode_dispersion_CBNA_VALS,Mode_dispersion_detail_CBNA,attribut_de_dissemin_CBNA,attribut_de_dissemin_modif_JVE,attribut_de_dissemin_commentaire_CBNA,Vittoz_SD_DispersalType,Vittoz_SD_Height,Vittoz_SD_SeedMass,Vittoz_SD_SLAall,L_Lumière_ellenberg_JVE,L_Lumièrel_ellenberg_Luc,L_Lumière_ellenberg_CBNA,L_Amplitude_Lumière_ellenberg_CBNA,L_Lumière_ellenberg,L_Ellenberg_British,LO_Ellenberg_British,F_Humidité du sol_ellenberg_CBNA,F_Humidité du sol_Landolt_CBNA,F_Ellenberg_British,FO_Ellenberg_British,F_Humidité du sol_ellenberg,N_Nutriments du sol_ellenberg_JVE,N_Nutriments du sol_Landolt_CBNA,N_Ellenberg_British,NO_Ellenberg_British,N_Nutriments du sol_ellenberg,R_Ellenberg_British,RO_Ellenberg_British,S_Ellenberg_British,SO_Ellenberg_British,chorologie_classe_JULVE,phenologie_ordre_de_floraison_JULVE,grand_type_de_formation_JULVE,CD_ref,Code_taxon_num,CBNA,ListeLECA,champs1_Subsp?_,macroclimat_CBNA,microclimat_Temperature_stationnelle_CBNA,libelle_taxon,graine_taille_CBNA,phenologie_fructification_:periode_CBNA,plante_carnivore_CBNA,lian_vrilles_crochet_crampons_CBNA,feuill_succulente_CBNA,tige_succulente_CBNA,feuill_epineuse_CBNA,rameau_ou_tige_epineux_CBNA,rameau_chlorophyllien_CBNA,port_dressé_CBNA,port_rampant_CBNA,port_procombant_CBNA,port_étalé_CBNA,Cycle_mono_ou_polycarpique_CBNA,cycle_maturite_longevite_CBNA,Cycle_classe_d_age_CBNA,classe_d_age_CBNA,diffusion_CBNA,types_morphologiques_de_Barkman_1988,Endemisme_CBNA_VALS,Biologie_type_de_nutrition_CBNA_VALS,Feuillage_caducite_persistance_CBNA,Chorologie_classe_modif_LG,naturalite_habitat_primaire_secondaire_CBNA_en attente,naturalite_habitat_primaire_secondaire_modifs_JVE_en attente,fleur_inflorescence_type_julve_revue_CBNA,fleur_couleur_CBNA,fleur_petale_ornementation_CBNA,fleur_sexualite_CBNA,fruit_type_CBNA_VALS,fruit_couleur_CBNA,gradiant_herbacee_ligneux_CBNA_VALS,Hauteur_fourchette_moyenne_CBNA_VALS,Hauteur_fourchette_exteme_CBNA,phenologie_floraison_ordre_CBNA,phenologie_floraisofeuillaison_ordre_CBNA,phenologie_floraison_periode_CBNA,phenologie_fecondationpollinisation_type_CBNA,indigénat_ZA_CBNA_VALS
9583,x,x,,51067,Cleveaceae,Marchantia,Marchantia polymorpha L.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5115,,,,14231,,Mariscus,Mariscus rigens (C. Presl) C.B. Clarke ex Chodat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14231,NA,,,,,Mariscus rigens (C. Presl) C.B. Clarke ex Chodat,,,,,,,,,,?,,,,,,,,,,,,?,,P,,?,,,,,,,,,,,,,?
5116,,,,08601,,Marrubium,Marrubium incanum Desr. in Lam.,,,barochore,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8601,NA,,,,,Marrubium incanum Desr. in Lam.,,,,,,,,,,x,,,,,,,,,,,chlorophyllien,hémisempervirent,,S,,glomérules,,,,akène,,,,,,,,entomogame,Exogène
5117,,,,08602,,Marrubium,Marrubium peregrinum L.,HE,,barochore,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,européen oriental,,hémicryptophytaie,,8602,NA,,,,,Marrubium peregrinum L.,,,,,,,,,,x,,,,polycarpique,,,3 ou 4,,,,chlorophyllien,hémisempervirent,Européen,S,,glomérules,blanc,,hermaphrodite,akène,,,,,,,7-9,entomogame,Exogène
5118,x,x,x,08603,Lamiaceae,Marrubium,Marrubium vulgare L.,HE et CH,50,barochore,Boleochorie,sans attribut visible,,,NA,50,0.91427619047619,14.2,9,$,9,,9,9,9,,1,5,4,4,8,,8,8,8,7,8,0,0,méditerranéen(eury),,hémicryptophytaie,107397,8603,x,x,,,,Marrubium vulgare L.,,,,,,,,,,x,,,,polycarpique,,,4,,,,chlorophyllien,hémisempervirent,Méditerranéen,S,,glomérules,blanc,,hermaphrodite,akène,,suffrutescent ? (herbacé ?),25-60,,,,5-9,entomogame,Indigène
5119,x,x,x,17717,Marsileaceae,Marsilea,Marsilea quadrifolia L.,HYDHE (et HE),7,hydrochore,Cystometeorochorie,flotteur,,,,,,,7,$,7,,7,,,,5,,,10,,,,,6,,,,,eurasiatique tempéré,,hémicryptophytaie,107407,17717,x,x,,,,Marsilea quadrifolia L.,,,,,,,,,,x,,,,polycarpique,,,,,,,chlorophyllien,hémisempervirent,Eurasiatique,P,,?,,,,spores,,herbacé,4-10,,,,7-10,,Indigène
5120,,,,17719,,Marsilea,Marsilea strigosa Willd.,GE,,barochore,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,méditerranéen,,hémicryptophytaie,,17719,NA,,,,,Marsilea strigosa Willd.,,,,,,,,,,x,,,,polycarpique,,,,,,,chlorophyllien,hémisempervirent,Méditerranéen,P,,?,,,,spores,,,,,,,6-8,,Indigène
9603,x,x,,51234,Gymnomitriaceae,Marsupella,Marsupella emarginata (Ehrh.) Dumort.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5121,x,x,x,02620,Asteraceae,Matricaria,Matricaria discoidea DC.,TH,10,barochore,Boleochorie-Agochorie,akène sans attribut,,,NA,10,0.1,NA,8,$,8,,8,7,8,,3,5,5,5,7,,7,8,8,7,7,0,0,cosmopolite,,thérophytaie,107446,2620,x,x,,,,Matricaria discoidea DC.,,,,,,,,,,x,,,,monocarpique,1,,1,,,,chlorophyllien,hémisempervirent,Cosmopolite,S,,racème de capitules,jaune,,hermaphrodite,akène,,herbacé,5-15,,,,6-11,"entomogame, autogame",Indigène
5122,x,x,,02623,Asteraceae,Matricaria,Matricaria maritima L.,CH,,barochore,,,,,,,,,,,,,9,,,,,,,6=,,,,,8,,,,,atlantique,protandre,hémicryptophytaie,107459,2623,nr,,,,,Matricaria maritima L. subsp. maritima,,,,,,,,,,x,,,,,,,4-5,,,,chlorophyllien,hémisempervirent,Atlantique,P,,racème de capitules,"blanc, jaune",,hermaphrodite,akène,,,,,,,5-9,"entomogame, autogame",Indigène
