Code_taxon_CBNA,CD_REF,cdref7,libcdref7,Strategie_CSR,Forme_vie
7043,104716,104716,"Laburnum anagyroides Medik., 1787",ccc,n-p
17356,105042,105042,"Larix decidua Mill., 1768",ccc,p
9387,105966,105966,"Ligustrum vulgare L., 1753",ccc,n
4824,106550,106550,"Lonicera alpigena L., 1753",ccc,n
4824,106550,106550,"Lonicera alpigena L., 1753",ccc,n
4826,106555,106555,"Lonicera caerulea L., 1753",ccc,n
4829,106565,106565,"Lonicera etrusca Santi, 1795",ccc,n.li
4832,106574,106574,"Lonicera nigra L., 1753",ccc,n
4837,106595,106595,"Lonicera xylosteum L., 1753",ccc,n
11176,107217,107217,"Malus sylvestris Mill., 1768",ccc,p
11176,107217,107217,"Malus sylvestris Mill., 1768",ccc,p
11176,107217,107217,"Malus sylvestris Mill., 1768",ccc,p
11176,107217,107217,"Malus sylvestris Mill., 1768",ccc,p
11176,107217,107217,"Malus sylvestris Mill., 1768",ccc,p
11176,107217,107217,"Malus sylvestris Mill., 1768",ccc,p
6078,111837,111837,"Ostrya carpinifolia Scop., 1772",ccc,p
6078,111837,111837,"Ostrya carpinifolia Scop., 1772",ccc,p
9445,138535,138535,"Paeonia officinalis subsp. huthii Soldano, 1993",ccc,h
9445,138535,138535,"Paeonia officinalis subsp. huthii Soldano, 1993",ccc,h
9445,138535,138535,"Paeonia officinalis subsp. huthii Soldano, 1993",ccc,h
17363,113432,113432,"Picea abies (L.) H.Karst., 1881",ccc,p
17370,113651,113651,"Pinus cembra L., 1753",ccc,p
17384,113682,113682,"Pinus mugo Turra, 1764",ccc,n
17384,113682,113682,"Pinus mugo Turra, 1764",ccc,n
17400,113682,113682,"Pinus mugo Turra, 1764",ccc,p
17400,113682,113682,"Pinus mugo Turra, 1764",ccc,p
17396,113703,113703,"Pinus sylvestris L., 1753",ccc,p
122,113748,113748,"Pistacia terebinthus L., 1753",ccc,n-p
12010,115156,115156,"Populus tremula L., 1753",ccc,p
11313,116043,116043,"Prunus avium (L.) L., 1755",ccc,p
11332,116068,116068,"Prunus dulcis (Mill.) D.A.Webb, 1967",ccc,n-p
11332,116068,116068,"Prunus dulcis (Mill.) D.A.Webb, 1967",ccc,n-p
11332,116068,116068,"Prunus dulcis (Mill.) D.A.Webb, 1967",ccc,n-p
11332,116068,116068,"Prunus dulcis (Mill.) D.A.Webb, 1967",ccc,n-p
11336,116096,116096,"Prunus mahaleb L., 1753",ccc,n-p
11336,116096,116096,"Prunus mahaleb L., 1753",ccc,n-p
11354,116142,116142,"Prunus spinosa L., 1753",ccc,n
10896,117530,117530,"Rhamnus cathartica L., 1753",ccc,n
8256,117748,117748,"Ribes alpinum L., 1753",ccc,n
8259,117771,117771,"Ribes petraeum Wulfen, 1781",ccc,n
8263,117787,117787,"Ribes uva-crispa L., 1753",ccc,n
7534,117860,117860,"Robinia pseudoacacia L., 1753",ccc,p
11380,117986,117986,"Rosa agrestis Savi, 1798",ccc,n
11380,117986,117986,"Rosa agrestis Savi, 1798",ccc,n
11380,117986,117986,"Rosa agrestis Savi, 1798",ccc,n
11385,118016,118016,"Rosa arvensis Huds., 1762",ccc,n.li
11385,118016,118016,"Rosa arvensis Huds., 1762",ccc,n.li
11386,118064,118064,"Rosa caesia Sm., 1812",ccc,n
11388,118073,118073,"Rosa canina L., 1753",ccc,n
40228,118645,118645,"Rosa chavinii Rapin ex Reut., 1861",ccc,n
11453,118666,118666,"Rosa dumalis Bechst., 1810",ccc,n
11453,118666,118666,"Rosa dumalis Bechst., 1810",ccc,n
11442,118666,118666,"Rosa dumalis Bechst., 1810",ccc,n
11441,118666,118666,"Rosa dumalis Bechst., 1810",ccc,n
