,CD_REF,nom_reconnu,nom_baseflor,pollinisation,dissemination,Source dispersal mode,Commentaire,famille,dispersal_mode,CSR,Comment CSR,Source CSR
61,119827,"Sagina saginoides (L.) H.Karst., 1882",Sagina saginoides (L.) H.Karst.,"entomogame, autogame",barochore,baseflor Julve,,Caryophyllaceae,barochore,NA,,
92,140428,"Sagina saginoides subsp. saginoides (L.) H.Karst., 1882",Sagina saginoides (L.) H.Karst. subsp. saginoides,"entomogame, autogame",barochore,baseflor Julve,,Caryophyllaceae,NA,css,,
64,122593,"Senecio doronicum (L.) L., 1759",Senecio doronicum (L.) L.,"entomogame, autogame",anemochore,baseflor Julve,,Asteraceae,anemochore,NA,,
93,141296,"Solidago virgaurea subsp. minuta (L.) Arcang., 1882",Solidago virgaurea subsp. minuta (L.) Arcang.,"entomogame, autogame",anemochore,baseflor Julve,,Asteraceae,NA,NA,,
70,128345,"Vaccinium myrtillus L., 1753",Vaccinium myrtillus L.,"entomogame, autogame",endozoochore,baseflor Julve,,Ericaceae,NA,ccs,,
71,128354,"Vaccinium uliginosum L., 1753",Vaccinium uliginosum L.,"entomogame, autogame",endozoochore,baseflor Julve,,Ericaceae,NA,ccs,,
96,142047,"Vaccinium uliginosum subsp. microphyllum (Lange) Tolm., 1936",Vaccinium uliginosum subsp. microphyllum (Lange) Tolm.,"entomogame, autogame",endozoochore,baseflor Julve,,Ericaceae,NA,ccs,,
72,128355,"Vaccinium vitis-idaea L., 1753",Vaccinium vitis-idaea L.,"entomogame, autogame",endozoochore,baseflor Julve,,Ericaceae,NA,css,,
76,129520,"Viola biflora L., 1753",Viola biflora L.,"entomogame, autogame",myrmecochore,baseflor Julve,,Violaceae,NA,css,,
14,84540,"Asplenium viride Huds., 1762",Asplenium viride Huds.,hydrogame,anemochore,baseflor Julve,,Aspleniaceae,NA,NA,,
44,106998,"Lycopodium alpinum L., 1753",Lycopodium alpinum L.,hydrogame,anemochore,baseflor Julve,,Lycopodiaceae,NA,NA,,
19,87891,"Cardamine alpina Willd., 1800",? Cardamine bellidifolia subsp. alpina?,,autochore,,"dans le doc de Brad: Cardamine alpina Willd., 1800 -> autochory OK (de manière generale, prendre les attributs Baseflor de Cardamine bellidifolia L.? Car Cardamina alpina = Cardamine bellidifolia  subsp. alpina)",Brassicaceae,NA,NA,,
103,193498,"Hypericum L., 1753",,,,,"Pas possible de trancher, car trop de diversite de traits dans le genre",Hypericaceae,NA,NA,,
65,123176,"Sibbaldia procumbens L., 1753",Sibbaldia procumbens L.,,barochore,baseflor Julve,dans base CBNA = endozoochore,Rosaceae,NA,css,,
,138547,"Papaver alpinum subsp. alpinum L., 1753",,,autochore,,,,,,,
,192551,"Festuca L., 1753",,,,,,,,,,
,149728,"Poa nemoralis var. glauca Gaudin, 1811",,,anemochore,,,,,,,
